CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDFLUOR_TSG,CTDFLUOR_TSG_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,MG/M^3,,UE/m^2/sec,
40.0,2,6.0077,2,32.7031,2,311.5,2,60.2,2,0.82,2,1.41,2,,2
41.0,2,5.9689,2,32.7033,2,311.6,2,60.4,2,0.821,2,1.385,2,,2
42.0,2,5.9528,2,32.7034,2,311.8,2,60.7,2,0.813,2,1.379,2,,2
43.0,2,5.9136,2,32.7043,2,312.2,2,60.7,2,0.799,2,1.3880000000000001,2,,2
44.0,2,5.8562,2,32.7048,2,312.3,2,60.9,2,0.775,2,1.35,2,,2
45.0,2,5.8085,2,32.7059,2,311.2,2,61.5,2,0.765,2,1.381,2,,2
46.0,2,5.7434,2,32.7061,2,310.5,2,61.8,2,0.733,2,1.298,2,,2
47.0,2,5.7049,2,32.707,2,311.5,2,62.0,2,0.706,2,1.189,2,,2
48.0,2,5.6363,2,32.7092,2,312.7,2,62.2,2,0.713,2,1.141,2,,2
49.0,2,5.5052,2,32.7132,2,313.9,2,62.5,2,0.655,2,1.128,2,,2
50.0,2,5.4085,2,32.7124,2,314.6,2,62.9,2,0.644,2,1.127,2,,2
51.0,2,5.3418,2,32.7102,2,314.7,2,63.5,2,0.626,2,1.067,2,,2
52.0,2,5.3313,2,32.7089,2,314.6,2,63.9,2,0.622,2,1.0490000000000002,2,,2
53.0,2,5.3209,2,32.7087,2,314.7,2,63.9,2,0.607,2,1.014,2,,2
54.0,2,5.3094,2,32.7084,2,314.7,2,63.9,2,0.595,2,1.0290000000000001,2,,2
55.0,2,5.2774,2,32.7082,2,314.6,2,64.0,2,0.58,2,0.9940000000000001,2,,2
56.0,2,5.2629,2,32.708,2,314.3,2,64.2,2,0.563,2,0.9670000000000001,2,,2
57.0,2,5.2597,2,32.7087,2,314.2,2,64.1,2,0.5579999999999999,2,0.919,2,,2
58.0,2,5.254,2,32.7088,2,314.0,2,64.1,2,0.552,2,0.91,2,,2
59.0,2,5.2461,2,32.709,2,313.9,2,64.4,2,0.547,2,0.935,2,,2
60.0,2,5.2359,2,32.7095,2,313.7,2,64.4,2,0.545,2,0.919,2,,2
61.0,2,5.2267,2,32.7098,2,313.5,2,64.3,2,0.519,2,0.91,2,,2
62.0,2,5.2193,2,32.7105,2,313.0,2,64.6,2,0.516,2,0.905,2,,2
63.0,2,5.2185,2,32.7114,2,312.6,2,64.6,2,0.521,2,0.894,2,,2
64.0,2,5.2134,2,32.7123,2,312.1,2,64.5,2,0.521,2,0.8809999999999999,2,,2
65.0,2,5.2014,2,32.7132,2,311.5,2,64.7,2,0.524,2,0.853,2,,2
66.0,2,5.1807,2,32.7123,2,311.2,2,64.6,2,0.507,2,0.8490000000000001,2,,2
67.0,2,5.1827,2,32.7149,2,311.0,2,64.7,2,0.491,2,0.845,2,,2
68.0,2,5.169,2,32.717,2,311.3,2,64.8,2,0.462,2,0.747,2,,2
69.0,2,5.149,2,32.7183,2,311.4,2,64.9,2,0.426,2,0.6709999999999999,2,,2
70.0,2,5.1136,2,32.7191,2,311.4,2,65.1,2,0.409,2,0.635,2,,2
71.0,2,5.0978,2,32.719,2,310.8,2,65.4,2,0.36700000000000005,2,0.618,2,,2
72.0,2,5.0855,2,32.719,2,309.7,2,65.4,2,0.35600000000000004,2,0.618,2,,2
73.0,2,5.0769,2,32.7215,2,309.0,2,65.4,2,0.34700000000000003,2,0.596,2,,2
74.0,2,5.062,2,32.7256,2,309.2,2,65.5,2,0.331,2,0.542,2,,2
75.0,2,5.0362,2,32.7264,2,309.6,2,65.6,2,0.324,2,0.491,2,,2
76.0,2,5.0172,2,32.7276,2,309.5,2,65.7,2,0.306,2,0.469,2,,2
77.0,2,4.9786,2,32.7296,2,309.2,2,65.7,2,0.295,2,0.439,2,,2
78.0,2,4.9392,2,32.7293,2,308.8,2,65.9,2,0.264,2,0.408,2,,2
79.0,2,4.9194,2,32.7317,2,308.2,2,66.1,2,0.251,2,0.43799999999999994,2,,2
80.0,2,4.8981,2,32.7355,2,307.3,2,66.1,2,0.23,2,0.401,2,,2
81.0,2,4.8797,2,32.7394,2,306.0,2,66.1,2,0.228,2,0.369,2,,2
82.0,2,4.8741,2,32.7407,2,305.5,2,66.1,2,0.223,2,0.33299999999999996,2,,2
83.0,2,4.8653,2,32.7421,2,304.9,2,66.1,2,0.212,2,0.353,2,,2
84.0,2,4.8308,2,32.7504,2,304.7,2,66.1,2,0.195,2,0.332,2,,2
85.0,2,4.7945,2,32.7573,2,304.5,2,66.3,2,0.179,2,0.32799999999999996,2,,2
86.0,2,4.7715,2,32.7639,2,304.3,2,65.8,2,0.163,2,0.29,2,,2
87.0,2,4.7614,2,32.7664,2,303.6,2,66.5,2,0.159,2,0.264,2,,2
88.0,2,4.7551,2,32.768,2,303.0,2,66.5,2,0.155,2,0.27399999999999997,2,,2
89.0,2,4.7462,2,32.7709,2,302.4,2,66.6,2,0.15,2,0.257,2,,2
90.0,2,4.7241,2,32.7796,2,301.7,2,66.6,2,0.14400000000000002,2,0.27,2,,2
91.0,2,4.7172,2,32.784,2,300.5,2,66.6,2,0.134,2,0.276,2,,2
92.0,2,4.703,2,32.7894,2,299.8,2,66.6,2,0.134,2,0.263,2,,2
93.0,2,4.7007,2,32.7972,2,298.1,2,66.6,2,0.13,2,0.23399999999999999,2,,2
94.0,2,4.7039,2,32.8046,2,295.6,2,66.4,2,0.125,2,0.212,2,,2
95.0,2,4.6865,2,32.8113,2,293.0,2,66.5,2,0.122,2,0.221,2,,2
96.0,2,4.6922,2,32.828,2,289.7,2,66.7,2,0.113,2,0.218,2,,2
97.0,2,4.6816,2,32.8449,2,286.4,2,66.8,2,0.10800000000000001,2,0.218,2,,2
98.0,2,4.686,2,32.8745,2,283.6,2,66.8,2,0.1,2,0.19899999999999998,2,,2
99.0,2,4.6946,2,32.9072,2,281.5,2,66.8,2,0.092,2,0.198,2,,2
100.0,2,4.7016,2,32.9383,2,279.0,2,66.8,2,0.098,2,0.185,2,,2
101.0,2,4.7032,2,32.9499,2,276.7,2,66.9,2,0.08800000000000001,2,0.191,2,,2
102.0,2,4.7093,2,32.9698,2,274.7,2,66.9,2,0.085,2,0.177,2,,2
103.0,2,4.708,2,32.9839,2,272.4,2,66.9,2,0.078,2,0.18899999999999997,2,,2
104.0,2,4.7078,2,33.0023,2,269.2,2,66.9,2,0.076,2,0.175,2,,2
105.0,2,4.7154,2,33.0108,2,265.1,2,66.9,2,0.077,2,0.182,2,,2
106.0,2,4.7249,2,33.024,2,261.9,2,66.9,2,0.073,2,0.17300000000000001,2,,2
107.0,2,4.7024,2,33.0501,2,260.2,2,67.0,2,0.066,2,0.159,2,,2
108.0,2,4.6184,2,33.0899,2,259.0,2,67.0,2,0.07,2,0.166,2,,2
109.0,2,4.5329,2,33.1016,2,258.3,2,67.0,2,0.067,2,0.165,2,,2
110.0,2,4.493,2,33.1123,2,255.7,2,67.0,2,0.061,2,0.159,2,,2
111.0,2,4.4678,2,33.1189,2,253.4,2,67.0,2,0.061,2,0.147,2,,2
112.0,2,4.44,2,33.1337,2,252.3,2,67.0,2,0.061,2,0.158,2,,2
113.0,2,4.4582,2,33.1516,2,251.3,2,67.0,2,0.061,2,0.14,2,,2
114.0,2,4.544,2,33.1776,2,249.8,2,67.0,2,0.061,2,0.14,2,,2
115.2,2,4.6262,2,33.1928,2,247.0,2,66.9,2,0.063,2,0.153,2,,2
116.0,2,4.6666,2,33.2049,2,242.9,2,67.0,2,0.061,2,0.146,2,,2
117.0,2,4.6819,2,33.211999999999996,2,241.2,2,66.9,2,0.061,2,0.156,2,,2
118.0,2,4.6795,2,33.2243,2,240.9,2,66.9,2,0.061,2,0.15,2,,2
119.0,2,4.6759,2,33.253,2,240.5,2,67.0,2,0.061,2,0.14300000000000002,2,,2
120.0,2,4.6756,2,33.2624,2,240.1,2,67.0,2,0.055999999999999994,2,0.142,2,,2
121.1,2,4.6736,2,33.2652,2,239.4,2,66.9,2,0.055,2,0.165,2,,2
122.0,2,4.6718,2,33.2666,2,238.7,2,66.9,2,0.057,2,0.146,2,,2
123.0,2,4.6669,2,33.2702,2,238.0,2,66.9,2,0.052000000000000005,2,0.141,2,,2
124.0,2,4.6636,2,33.2721,2,236.7,2,66.9,2,0.059000000000000004,2,0.136,2,,2
125.0,2,4.6583,2,33.2745,2,234.8,2,67.0,2,0.054000000000000006,2,0.135,2,,2
126.0,2,4.6558,2,33.2755,2,232.8,2,66.9,2,0.061,2,0.146,2,,2
127.0,2,4.6431,2,33.2837,2,231.4,2,66.9,2,0.061,2,0.147,2,,2
128.0,2,4.6112,2,33.3006,2,230.2,2,66.9,2,0.054000000000000006,2,0.139,2,,2
129.0,2,4.5957,2,33.3069,2,228.5,2,66.9,2,0.057,2,0.14400000000000002,2,,2
130.0,2,4.5831,2,33.3142,2,224.4,2,66.9,2,0.054000000000000006,2,0.142,2,,2
131.0,2,4.5606,2,33.3214,2,216.7,2,66.9,2,0.054000000000000006,2,0.142,2,,2
132.0,2,4.5315,2,33.330999999999996,2,210.6,2,67.0,2,0.05,2,0.154,2,,2
133.0,2,4.4846,2,33.3485,2,208.4,2,67.0,2,0.052000000000000005,2,0.145,2,,2
134.0,2,4.4052,2,33.3898,2,207.6,2,66.9,2,0.049,2,0.155,2,,2
135.0,2,4.3841,2,33.4199,2,206.6,2,66.9,2,0.049,2,0.146,2,,2
136.0,2,4.3858,2,33.4351,2,204.5,2,67.0,2,0.049,2,0.14300000000000002,2,,2
137.0,2,4.3894,2,33.445,2,199.3,2,66.7,2,0.049,2,0.151,2,,2
138.0,2,4.387,2,33.4633,2,193.1,2,67.0,2,0.049,2,0.133,2,,2
139.0,2,4.3663,2,33.4878,2,189.6,2,67.0,2,0.049,2,0.13699999999999998,2,,2
140.0,2,4.3556,2,33.4966,2,188.0,2,67.0,2,0.049,2,0.115,2,,2
141.0,2,4.3402,2,33.5182,2,186.7,2,67.0,2,0.044000000000000004,2,0.133,2,,2
142.0,2,4.3260000000000005,2,33.5312,2,185.3,2,67.0,2,0.048,2,0.142,2,,2
143.0,2,4.3238,2,33.5367,2,183.3,2,67.0,2,0.049,2,0.147,2,,2
144.0,2,4.3173,2,33.5423,2,180.5,2,67.0,2,0.049,2,0.131,2,,2
145.0,2,4.2993,2,33.5517,2,178.3,2,67.0,2,0.047,2,0.138,2,,2
145.9,2,4.2805,2,33.5735,2,176.5,2,66.9,2,0.047,2,0.134,2,,2
147.0,2,4.2945,2,33.5855,2,175.2,2,67.0,2,0.048,2,0.11900000000000001,2,,2
148.0,2,4.302,2,33.5948,2,174.3,2,67.0,2,0.043,2,0.124,2,,2
149.0,2,4.3149,2,33.6034,2,172.9,2,66.9,2,0.049,2,0.126,2,,2
150.1,2,4.3418,2,33.631,2,170.5,2,67.0,2,0.047,2,0.111,2,,2
150.9,2,4.3499,2,33.6433,2,167.4,2,67.0,2,0.04,2,0.13699999999999998,2,,2
152.0,2,4.3284,2,33.6506,2,165.7,2,67.0,2,0.040999999999999995,2,0.14300000000000002,2,,2
153.0,2,4.311,2,33.6529,2,165.3,2,67.0,2,0.043,2,0.122,2,,2
154.0,2,4.3085,2,33.6562,2,165.0,2,67.0,2,0.048,2,0.14,2,,2
155.0,2,4.3108,2,33.6645,2,164.7,2,67.0,2,0.037000000000000005,2,0.12,2,,2
156.1,2,4.3117,2,33.6678,2,163.9,2,67.0,2,0.037000000000000005,2,0.113,2,,2
157.0,2,4.3146,2,33.6696,2,161.4,2,67.0,2,0.037000000000000005,2,0.134,2,,2
158.0,2,4.3202,2,33.6761,2,158.3,2,67.0,2,0.040999999999999995,2,0.12,2,,2
159.0,2,4.3159,2,33.685,2,156.8,2,67.0,2,0.04,2,0.133,2,,2
160.0,2,4.3072,2,33.6884,2,155.5,2,67.0,2,0.042,2,0.139,2,,2
161.0,2,4.2891,2,33.6899,2,154.9,2,67.0,2,0.037000000000000005,2,0.138,2,,2
162.0,2,4.2844,2,33.6895,2,154.4,2,67.0,2,0.044000000000000004,2,0.141,2,,2
163.0,2,4.2784,2,33.6909,2,154.0,2,66.9,2,0.037000000000000005,2,0.134,2,,2
164.1,2,4.2682,2,33.6959,2,153.7,2,67.0,2,0.039,2,0.136,2,,2
165.0,2,4.2667,2,33.6976,2,152.8,2,67.0,2,0.04,2,0.139,2,,2
166.0,2,4.2677,2,33.6984,2,151.1,2,67.0,2,0.042,2,0.14300000000000002,2,,2
167.0,2,4.2702,2,33.699,2,150.0,2,67.0,2,0.042,2,0.136,2,,2
168.0,2,4.2697,2,33.7027,2,149.4,2,67.0,2,0.042,2,0.11900000000000001,2,,2
169.0,2,4.2616,2,33.7074,2,149.1,2,67.0,2,0.037000000000000005,2,0.125,2,,2
170.0,2,4.2586,2,33.7089,2,148.9,2,67.1,2,0.037000000000000005,2,0.135,2,,2
171.0,2,4.2568,2,33.711,2,148.6,2,67.1,2,0.037000000000000005,2,0.125,2,,2
172.0,2,4.2569,2,33.711999999999996,2,147.9,2,67.1,2,0.037000000000000005,2,0.135,2,,2
173.0,2,4.2582,2,33.7131,2,146.4,2,67.1,2,0.037000000000000005,2,0.14300000000000002,2,,2
174.0,2,4.2607,2,33.7154,2,144.7,2,67.1,2,0.042,2,0.131,2,,2
175.0,2,4.2654,2,33.7183,2,143.6,2,67.1,2,0.037000000000000005,2,0.11,2,,2
176.0,2,4.2644,2,33.7221,2,142.8,2,67.0,2,0.037000000000000005,2,0.132,2,,2
177.0,2,4.2525,2,33.7276,2,142.0,2,67.1,2,0.037000000000000005,2,0.138,2,,2
178.0,2,4.251,2,33.7299,2,140.9,2,67.1,2,0.037000000000000005,2,0.126,2,,2
179.0,2,4.2464,2,33.7317,2,139.2,2,67.0,2,0.037000000000000005,2,0.13699999999999998,2,,2
180.0,2,4.2433,2,33.7329,2,138.0,2,67.1,2,0.037000000000000005,2,0.132,2,,2
181.0,2,4.2335,2,33.7359,2,137.5,2,66.8,2,0.037000000000000005,2,0.134,2,,2
182.0,2,4.2154,2,33.7396,2,137.2,2,67.2,2,0.037000000000000005,2,0.13699999999999998,2,,2
