CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDFLUOR_TSG,CTDFLUOR_TSG_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,MG/M^3,,UE/m^2/sec,
41.0,2,9.0657,2,32.6614,2,295.7,2,61.7,2,0.599,2,1.074,2,,2
42.0,2,9.0388,2,32.663000000000004,2,295.0,2,60.7,2,0.607,2,1.099,2,,2
43.0,2,9.0094,2,32.6639,2,294.8,2,61.8,2,0.638,2,1.107,2,,2
44.0,2,8.9802,2,32.6653,2,295.0,2,61.8,2,0.652,2,1.153,2,,2
45.0,2,8.9084,2,32.6677,2,296.1,2,61.2,2,0.69,2,1.245,2,,2
46.0,2,8.785,2,32.6702,2,299.0,2,61.7,2,0.82,2,1.442,2,,2
47.0,2,8.5184,2,32.6751,2,300.1,2,61.4,2,1.014,2,1.8559999999999999,2,,2
48.0,2,8.2665,2,32.6784,2,298.4,2,60.8,2,1.188,2,2.059,2,,2
49.0,2,8.1062,2,32.6728,2,297.0,2,60.4,2,1.253,2,2.221,2,,2
50.0,2,8.0066,2,32.6711,2,296.6,2,60.5,2,1.3419999999999999,2,2.295,2,,2
51.0,2,7.8964,2,32.6767,2,297.2,2,60.5,2,1.321,2,2.211,2,,2
52.0,2,7.6239,2,32.6804,2,298.9,2,60.9,2,1.226,2,1.915,2,,2
53.0,2,7.4991,2,32.6827,2,299.4,2,62.1,2,1.163,2,1.821,2,,2
54.0,2,7.4164,2,32.6828,2,299.3,2,62.4,2,1.128,2,1.775,2,,2
55.0,2,7.3867,2,32.6811,2,298.9,2,62.6,2,1.114,2,1.7919999999999998,2,,2
56.0,2,7.3566,2,32.6814,2,298.6,2,62.6,2,1.082,2,1.797,2,,2
57.0,2,7.2937,2,32.6823,2,299.1,2,62.7,2,1.075,2,1.732,2,,2
58.0,2,7.2241,2,32.6837,2,299.0,2,62.8,2,1.031,2,1.649,2,,2
59.0,2,7.1662,2,32.6838,2,299.0,2,63.0,2,1.0090000000000001,2,1.595,2,,2
60.0,2,7.1455,2,32.6849,2,298.8,2,63.1,2,0.977,2,1.545,2,,2
61.0,2,7.1379,2,32.6865,2,298.7,2,63.3,2,0.953,2,1.546,2,,2
62.0,2,7.1313,2,32.6884,2,298.7,2,63.4,2,0.929,2,1.4880000000000002,2,,2
63.0,2,7.111000000000001,2,32.6907,2,298.7,2,63.5,2,0.897,2,1.422,2,,2
64.0,2,7.0919,2,32.6918,2,298.5,2,63.6,2,0.875,2,1.3840000000000001,2,,2
65.0,2,7.0877,2,32.6923,2,298.0,2,63.7,2,0.851,2,1.375,2,,2
66.0,2,7.0875,2,32.6923,2,298.1,2,63.8,2,0.847,2,1.3630000000000002,2,,2
67.0,2,7.0781,2,32.6935,2,298.4,2,63.9,2,0.83,2,1.328,2,,2
68.0,2,7.0573,2,32.6951,2,298.3,2,63.9,2,0.794,2,1.278,2,,2
69.0,2,7.0145,2,32.6955,2,298.6,2,64.1,2,0.75,2,1.255,2,,2
70.0,2,6.9924,2,32.6957,2,298.3,2,64.3,2,0.7190000000000001,2,1.203,2,,2
71.0,2,6.9821,2,32.6962,2,298.2,2,64.4,2,0.7040000000000001,2,1.113,2,,2
72.0,2,6.9734,2,32.6969,2,298.3,2,64.5,2,0.701,2,1.082,2,,2
73.0,2,6.9665,2,32.6979,2,298.2,2,64.5,2,0.6859999999999999,2,1.063,2,,2
74.0,2,6.955,2,32.6986,2,298.2,2,64.5,2,0.67,2,1.016,2,,2
75.0,2,6.9461,2,32.6989,2,298.3,2,64.5,2,0.653,2,1.022,2,,2
76.0,2,6.9315,2,32.6992,2,298.4,2,64.5,2,0.644,2,1.006,2,,2
77.0,2,6.9233,2,32.699,2,298.2,2,64.7,2,0.619,2,1.062,2,,2
77.9,2,6.9159,2,32.6996,2,297.7,2,64.7,2,0.616,2,1.0,2,,2
79.0,2,6.9029,2,32.7004,2,297.7,2,64.7,2,0.61,2,0.953,2,,2
80.0,2,6.8998,2,32.7008,2,297.4,2,64.8,2,0.598,2,0.9490000000000001,2,,2
81.0,2,6.8791,2,32.7022,2,296.9,2,64.7,2,0.573,2,0.9259999999999999,2,,2
82.0,2,6.8595,2,32.7024,2,296.6,2,64.9,2,0.5479999999999999,2,0.924,2,,2
83.0,2,6.8452,2,32.7037,2,297.1,2,65.0,2,0.5379999999999999,2,0.861,2,,2
