CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Transmissivity and PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#Fluorescence data were removed because of severe problems with spikes and higher than usual values at depth suggesting problems with the cable. ,,,,,,,,,,,,,,,,
#The data may be obtained from the chief scientist. ,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The precision of the Oxygen:Dissolved:CTD channel is difficult to estimate because the comparison with bottles was very noisy but roughly the Oxygen:Dissolved:CTD data should be considered:,,,,,,,,,,,,,,,,
#      • ±0.15 ml/l from 0 to 100 dbar,,,,,,,,,,,,,,,,
#      • ±0.5 ml/l from 100 to 400 dbar (values tend to be too high),,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 400 to 600 dbar (values tend to be slightly high),,,,,,,,,,,,,,,,
#      • ±0.04 ml/l from 600 to 2000 dbar (values tend to be slightly low),,,,,,,,,,,,,,,,
#      • ±0.01 ml/l below 2500 dbar,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Transmissometer #1005DR was calibrated in March 2008 and drifted significantly but steadily until July 2009.,,,,,,,,,,,,,,,,
#Then a sudden shift occurred so that maximum values between September 2009 and July 2010 were very low by ~25% / m. ,,,,,,,,,,,,,,,,
#In August 2010 a study was made of transmissivity that led to a decision to apply post-processing corrections to all cruises between March 2008 and June 2010. ,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#Transmissivity data from this cruise were corrected by multiplying the original values by correction factor 2.26 which was based on the assumption that deep offshore transmissivity should be about 62% / m.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#For details on the transmissometer post-processing see: Transmissometer_1005DR_Corrections.pdf.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#These data should still be considered nominal.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on the processing see processing file 2010-01-proc.pdf,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD {kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],PAR:CTD [µE/m^2/sec],Comments
#,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20100202
STNBR = P5
CASTNO = 1
DATE = 04/02/2010
TIME =  19:24
LATITUDE = 48.693000000000005
LONGITUDE = -127.169
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,UE/m^2/sec,
1,2,9.418,2,32.378,2,281.5,2,56.5,2,,2
2,2,9.4175,2,32.3798,2,281.2,2,56.5,2,,2
3,2,9.4171,2,32.3799,2,280.8,2,56.5,2,,2
4,2,9.4168,2,32.3792,2,280.9,2,57.4,2,,2
5,2,9.4162,2,32.3795,2,280.6,2,57.4,2,,2
6,2,9.4184,2,32.3803,2,280.8,2,57.6,2,,2
7,2,9.4185,2,32.3804,2,280.5,2,57.6,2,,2
8,2,9.418,2,32.3814,2,280.4,2,57.6,2,,2
9,2,9.4166,2,32.3818,2,281.0,2,57.6,2,,2
10,2,9.4187,2,32.3823,2,280.4,2,57.6,2,,2
11,2,9.4149,2,32.3808,2,279.2,2,57.6,2,,2
12,2,9.419,2,32.3824,2,279.2,2,57.6,2,,2
13,2,9.4195,2,32.3825,2,279.8,2,57.6,2,,2
14,2,9.4167,2,32.3815,2,279.8,2,57.6,2,,2
15,2,9.4087,2,32.3786,2,279.5,2,57.6,2,,2
16,2,9.4097,2,32.3789,2,280.1,2,57.6,2,,2
17,2,9.4144,2,32.3799,2,280.4,2,57.6,2,,2
18,2,9.4142,2,32.3801,2,280.5,2,57.4,2,,2
19,2,9.4127,2,32.3798,2,280.8,2,57.6,2,,2
20,2,9.4118,2,32.3794,2,280.7,2,57.6,2,,2
21,2,9.4115,2,32.379,2,279.7,2,57.6,2,,2
22,2,9.4154,2,32.3804,2,279.6,2,57.6,2,,2
23,2,9.417,2,32.3811,2,279.9,2,57.6,2,,2
24,2,9.4128,2,32.3798,2,280.1,2,57.6,2,,2
25,2,9.4105,2,32.379,2,279.8,2,57.6,2,,2
26,2,9.4091,2,32.3783,2,279.8,2,57.6,2,,2
27,2,9.4092,2,32.3784,2,279.8,2,57.6,2,,2
28,2,9.408999999999999,2,32.3787,2,280.0,2,57.6,2,,2
29,2,9.4086,2,32.3787,2,280.0,2,57.6,2,,2
30,2,9.4086,2,32.3787,2,279.8,2,57.6,2,,2
31,2,9.4095,2,32.3787,2,280.3,2,57.6,2,,2
32,2,9.411,2,32.3789,2,280.4,2,57.6,2,,2
33,2,9.4112,2,32.3789,2,280.4,2,57.6,2,,2
34,2,9.408,2,32.3781,2,280.4,2,57.6,2,,2
35,2,9.4175,2,32.3811,2,280.4,2,57.6,2,,2
36,2,9.4198,2,32.382,2,280.6,2,57.6,2,,2
37,2,9.4219,2,32.3822,2,280.6,2,57.6,2,,2
38,2,9.421,2,32.382,2,280.3,2,57.6,2,,2
39,2,9.4234,2,32.383,2,279.6,2,57.6,2,,2
40,2,9.4242,2,32.3841,2,279.8,2,57.6,2,,2
41,2,9.4249,2,32.3838,2,279.8,2,57.6,2,,2
42,2,9.4286,2,32.3842,2,280.0,2,57.6,2,,2
43,2,9.4271,2,32.3834,2,279.5,2,57.6,2,,2
44,2,9.429,2,32.3855,2,278.7,2,57.6,2,,2
45,2,9.4413,2,32.3913,2,279.0,2,57.6,2,,2
46,2,9.4354,2,32.3892,2,277.6,2,57.6,2,,2
47,2,9.4341,2,32.3884,2,277.9,2,57.6,2,,2
48,2,9.4336,2,32.3882,2,279.0,2,57.6,2,,2
