CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Transmissivity and PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#Fluorescence data were removed because of severe problems with spikes and higher than usual values at depth suggesting problems with the cable. ,,,,,,,,,,,,,,,,
#The data may be obtained from the chief scientist. ,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The precision of the Oxygen:Dissolved:CTD channel is difficult to estimate because the comparison with bottles was very noisy but roughly the Oxygen:Dissolved:CTD data should be considered:,,,,,,,,,,,,,,,,
#      • ±0.15 ml/l from 0 to 100 dbar,,,,,,,,,,,,,,,,
#      • ±0.5 ml/l from 100 to 400 dbar (values tend to be too high),,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 400 to 600 dbar (values tend to be slightly high),,,,,,,,,,,,,,,,
#      • ±0.04 ml/l from 600 to 2000 dbar (values tend to be slightly low),,,,,,,,,,,,,,,,
#      • ±0.01 ml/l below 2500 dbar,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Transmissometer #1005DR was calibrated in March 2008 and drifted significantly but steadily until July 2009.,,,,,,,,,,,,,,,,
#Then a sudden shift occurred so that maximum values between September 2009 and July 2010 were very low by ~25% / m. ,,,,,,,,,,,,,,,,
#In August 2010 a study was made of transmissivity that led to a decision to apply post-processing corrections to all cruises between March 2008 and June 2010. ,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#Transmissivity data from this cruise were corrected by multiplying the original values by correction factor 2.26 which was based on the assumption that deep offshore transmissivity should be about 62% / m.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#For details on the transmissometer post-processing see: Transmissometer_1005DR_Corrections.pdf.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#These data should still be considered nominal.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on the processing see processing file 2010-01-proc.pdf,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD {kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],PAR:CTD [µE/m^2/sec],Comments
#,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20100202
STNBR = P4
CASTNO = 2
DATE = 04/02/2010
TIME =  11:50
LATITUDE = 48.6505
LONGITUDE = -126.66617
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,UE/m^2/sec,
2,2,9.7521,2,32.3977,2,274.4,2,56.5,2,,2
3,2,9.7525,2,32.3979,2,274.8,2,56.5,2,,2
4,2,9.7528,2,32.3982,2,274.8,2,56.5,2,,2
5,2,9.7537,2,32.398,2,274.4,2,56.3,2,,2
6,2,9.7517,2,32.3973,2,274.5,2,56.5,2,,2
7,2,9.7511,2,32.3971,2,274.5,2,56.5,2,,2
8,2,9.7537,2,32.398,2,275.3,2,56.5,2,,2
9,2,9.7566,2,32.3991,2,275.4,2,56.5,2,,2
10,2,9.7583,2,32.3999,2,275.2,2,56.5,2,,2
11,2,9.7622,2,32.4017,2,275.0,2,56.5,2,,2
12,2,9.7565,2,32.3989,2,274.7,2,56.5,2,,2
13,2,9.7572,2,32.3996,2,274.1,2,56.5,2,,2
14,2,9.7585,2,32.4002,2,274.9,2,56.5,2,,2
15,2,9.7643,2,32.4031,2,274.7,2,56.5,2,,2
16,2,9.7607,2,32.4012,2,274.9,2,56.5,2,,2
17,2,9.7603,2,32.4007,2,275.3,2,56.5,2,,2
18,2,9.7567,2,32.3994,2,275.3,2,56.5,2,,2
19,2,9.7593,2,32.4004,2,275.0,2,56.5,2,,2
20,2,9.763,2,32.4022,2,274.8,2,56.5,2,,2
21,2,9.7634,2,32.4022,2,274.7,2,56.5,2,,2
22,2,9.7637,2,32.4023,2,274.4,2,56.5,2,,2
23,2,9.7634,2,32.4021,2,274.2,2,56.5,2,,2
24,2,9.764,2,32.4025,2,274.5,2,56.5,2,,2
25,2,9.7641,2,32.4025,2,274.4,2,56.5,2,,2
26,2,9.763,2,32.402,2,274.1,2,56.5,2,,2
27,2,9.7658,2,32.4031,2,274.5,2,56.5,2,,2
28,2,9.7672,2,32.4035,2,274.4,2,56.5,2,,2
29,2,9.7886,2,32.4148,2,273.8,2,56.7,2,,2
30,2,9.8066,2,32.4254,2,273.7,2,56.7,2,,2
31,2,9.817,2,32.4318,2,273.5,2,57.0,2,,2
32,2,9.8333,2,32.439,2,273.1,2,57.2,2,,2
33,2,9.8373,2,32.4403,2,272.5,2,57.4,2,,2
34,2,9.8426,2,32.4418,2,272.6,2,57.4,2,,2
35,2,9.8507,2,32.4444,2,273.1,2,57.4,2,,2
36,2,9.8663,2,32.4486,2,273.2,2,57.4,2,,2
37,2,9.8856,2,32.4544,2,273.6,2,57.6,2,,2
38,2,9.9087,2,32.4584,2,273.7,2,57.6,2,,2
39,2,9.9105,2,32.459,2,273.5,2,57.6,2,,2
40,2,9.9105,2,32.4594,2,272.9,2,57.6,2,,2
41,2,9.9109,2,32.4605,2,273.1,2,57.6,2,,2
42,2,9.9172,2,32.4625,2,274.0,2,57.6,2,,2
43,2,9.9279,2,32.4646,2,274.6,2,57.6,2,,2
44,2,9.9601,2,32.4719,2,274.0,2,57.6,2,,2
45,2,9.9957,2,32.4797,2,273.9,2,57.4,2,,2
46,2,10.0024,2,32.4813,2,274.4,2,57.6,2,,2
47,2,10.003,2,32.4813,2,274.2,2,57.6,2,,2
48,2,9.9954,2,32.4804,2,273.6,2,57.4,2,,2
49,2,9.9904,2,32.4798,2,273.8,2,57.4,2,,2
50,2,9.9639,2,32.4756,2,274.6,2,57.4,2,,2
51,2,9.9528,2,32.4738,2,274.4,2,57.4,2,,2
52,2,9.9414,2,32.4716,2,274.4,2,57.4,2,,2
53,2,9.929,2,32.4699,2,274.1,2,57.2,2,,2
54,2,9.9181,2,32.4677,2,274.5,2,57.4,2,,2
55,2,9.9086,2,32.4682,2,274.7,2,57.4,2,,2
56,2,9.922,2,32.4721,2,274.5,2,57.9,2,,2
57,2,9.9225,2,32.473,2,274.1,2,57.9,2,,2
58,2,9.9223,2,32.4731,2,273.6,2,57.9,2,,2
59,2,9.9213,2,32.4732,2,273.6,2,57.9,2,,2
60,2,9.9216,2,32.4736,2,273.6,2,57.9,2,,2
61,2,9.9217,2,32.4736,2,273.4,2,57.9,2,,2
62,2,9.9208,2,32.474000000000004,2,272.9,2,57.9,2,,2
63,2,9.921,2,32.4754,2,272.5,2,58.1,2,,2
