CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,UE/m^2/sec,
51,2,8.0991,2,32.3295,2,291.0,2,50.8,2,,2
52,2,8.0988,2,32.3294,2,291.1,2,50.8,2,,2
53,2,8.0985,2,32.3293,2,291.3,2,50.8,2,,2
54,2,8.097999999999999,2,32.3293,2,291.7,2,50.8,2,,2
55,2,8.0976,2,32.3293,2,291.8,2,50.8,2,,2
56,2,8.0976,2,32.3292,2,291.6,2,50.8,2,,2
57,2,8.0968,2,32.3292,2,291.8,2,51.1,2,,2
58,2,8.0966,2,32.3289,2,291.6,2,51.1,2,,2
59,2,8.0965,2,32.3289,2,291.5,2,51.1,2,,2
60,2,8.0965,2,32.3289,2,291.3,2,50.8,2,,2
61,2,8.0966,2,32.3287,2,291.0,2,51.1,2,,2
62,2,8.0968,2,32.3288,2,290.6,2,51.1,2,,2
63,2,8.0971,2,32.3286,2,290.5,2,50.8,2,,2
64,2,8.097000000000001,2,32.3287,2,290.8,2,51.1,2,,2
65,2,8.0967,2,32.3287,2,290.9,2,50.8,2,,2
66,2,8.0965,2,32.3287,2,291.2,2,51.1,2,,2
68,2,8.096,2,32.3289,2,290.7,2,51.3,2,,2
69,2,8.0945,2,32.3292,2,290.9,2,51.3,2,,2
70,2,8.0931,2,32.3296,2,291.5,2,51.5,2,,2
71,2,8.0922,2,32.3305,2,291.9,2,51.5,2,,2
72,2,8.0904,2,32.3313,2,291.3,2,51.5,2,,2
73,2,8.0815,2,32.3354,2,290.7,2,51.8,2,,2
75,2,8.0441,2,32.3493,2,291.2,2,52.0,2,,2
76,2,8.0341,2,32.3545,2,290.5,2,52.0,2,,2
77,2,8.0067,2,32.3664,2,289.5,2,52.2,2,,2
78,2,7.9345,2,32.3944,2,288.9,2,52.4,2,,2
79,2,7.7954,2,32.4446,2,287.9,2,53.1,2,,2
80,2,7.537000000000001,2,32.5399,2,287.2,2,53.6,2,,2
81,2,7.3941,2,32.602,2,285.1,2,53.8,2,,2
82,2,7.2807,2,32.649,2,281.6,2,54.0,2,,2
83,2,7.2154,2,32.6904,2,276.3,2,54.0,2,,2
84,2,7.1303,2,32.7526,2,270.6,2,54.2,2,,2
85,2,7.0920000000000005,2,32.7907,2,261.2,2,54.2,2,,2
86,2,7.0817,2,32.8032,2,259.4,2,54.2,2,,2
87,2,6.9888,2,32.8658,2,258.1,2,54.2,2,,2
88,2,6.886,2,32.9195,2,256.6,2,54.5,2,,2
89,2,6.8660000000000005,2,32.9252,2,254.6,2,54.5,2,,2
90,2,6.7936,2,32.9428,2,252.5,2,54.5,2,,2
91,2,6.7149,2,32.9716,2,249.7,2,54.5,2,,2
92,2,6.7072,2,32.9754,2,247.9,2,54.5,2,,2
93,2,6.676,2,32.9818,2,250.8,2,54.5,2,,2
94,2,6.6129,2,33.0384,2,251.2,2,54.7,2,,2
95,2,6.5808,2,33.089,2,248.5,2,54.7,2,,2
96,2,6.5719,2,33.1047,2,244.4,2,54.7,2,,2
97,2,6.5768,2,33.1173,2,242.6,2,54.7,2,,2
98,2,6.5847,2,33.1305,2,242.1,2,54.7,2,,2
99,2,6.5869,2,33.1369,2,241.6,2,54.7,2,,2
100,2,6.5882,2,33.1401,2,240.8,2,54.7,2,,2
101,2,6.59,2,33.1437,2,239.8,2,54.7,2,,2
102,2,6.5907,2,33.1438,2,238.8,2,54.7,2,,2
103,2,6.5947,2,33.1388,2,240.4,2,54.7,2,,2
104,2,6.593999999999999,2,33.1437,2,240.4,2,54.7,2,,2
105,2,6.5945,2,33.1461,2,239.2,2,54.7,2,,2
106,2,6.6215,2,33.1761,2,237.8,2,54.7,2,,2
107,2,6.643,2,33.1982,2,236.9,2,54.7,2,,2
108,2,6.6449,2,33.2019,2,236.4,2,54.7,2,,2
109,2,6.6462,2,33.2042,2,235.3,2,54.7,2,,2
110,2,6.6522,2,33.2115,2,233.0,2,54.7,2,,2
111,2,6.6572,2,33.2163,2,232.3,2,54.7,2,,2
112,2,6.6839,2,33.2375,2,233.4,2,54.7,2,,2
113,2,6.7103,2,33.2535,2,232.9,2,54.7,2,,2
114,2,6.7224,2,33.2588,2,230.2,2,54.7,2,,2
115,2,6.7499,2,33.2783,2,222.0,2,54.7,2,,2
116,2,6.8593,2,33.3368,2,221.8,2,54.7,2,,2
117,2,6.9013,2,33.3581,2,220.8,2,54.7,2,,2
118,2,6.9299,2,33.3753,2,218.3,2,54.5,2,,2
119,2,6.9518,2,33.3848,2,214.0,2,54.7,2,,2
120,2,6.9992,2,33.4336,2,207.1,2,54.5,2,,2
121,2,7.0161,2,33.4526,2,201.1,2,54.5,2,,2
122,2,7.0216,2,33.4755,2,191.7,2,54.5,2,,2
123,2,7.0394,2,33.5354,2,192.2,2,54.5,2,,2
124,2,7.0247,2,33.5627,2,184.1,2,54.5,2,,2
125,2,7.0344,2,33.5784,2,180.0,2,54.5,2,,2
126,2,7.0401,2,33.5833,2,178.3,2,54.5,2,,2
127,2,7.0408,2,33.5875,2,177.0,2,54.5,2,,2
128,2,7.037999999999999,2,33.5901,2,175.5,2,54.5,2,,2
129,2,7.0358,2,33.5937,2,173.8,2,54.5,2,,2
130,2,7.0307,2,33.6002,2,172.2,2,54.5,2,,2
131,2,7.0232,2,33.6076,2,171.0,2,54.5,2,,2
132,2,7.013,2,33.6166,2,170.0,2,54.5,2,,2
133,2,6.9967,2,33.6283,2,169.8,2,54.5,2,,2
134,2,6.9779,2,33.643,2,169.7,2,54.5,2,,2
135,2,6.9703,2,33.6544,2,169.5,2,54.7,2,,2
136,2,6.9705,2,33.6615,2,169.2,2,54.7,2,,2
137,2,6.9734,2,33.6698,2,168.5,2,54.5,2,,2
138,2,6.9645,2,33.6801,2,167.8,2,54.7,2,,2
139,2,6.9531,2,33.693000000000005,2,166.5,2,54.7,2,,2
140,2,6.9501,2,33.6948,2,165.3,2,54.7,2,,2
141,2,6.9508,2,33.6965,2,164.3,2,54.7,2,,2
142,2,6.9533,2,33.7003,2,163.4,2,54.7,2,,2
143,2,6.9604,2,33.7111,2,162.7,2,54.5,2,,2
144,2,6.9617,2,33.717,2,160.3,2,54.5,2,,2
145,2,6.9652,2,33.727,2,159.9,2,54.5,2,,2
146,2,6.9728,2,33.7402,2,159.1,2,54.5,2,,2
147,2,6.9754,2,33.7535,2,158.1,2,54.5,2,,2
148,2,6.9725,2,33.7614,2,156.4,2,54.5,2,,2
149,2,6.9693,2,33.7646,2,153.0,2,54.5,2,,2
150,2,6.9645,2,33.77,2,149.5,2,54.5,2,,2
151,2,6.9632,2,33.7722,2,148.1,2,54.5,2,,2
152,2,6.9621,2,33.7741,2,147.7,2,54.5,2,,2
153,2,6.9576,2,33.7756,2,147.3,2,54.5,2,,2
154,2,6.9513,2,33.7796,2,147.1,2,54.5,2,,2
155,2,6.9491,2,33.7806,2,146.7,2,54.5,2,,2
156,2,6.9487,2,33.7808,2,146.4,2,54.5,2,,2
157,2,6.9484,2,33.781,2,146.1,2,54.5,2,,2
158,2,6.9478,2,33.7811,2,146.1,2,54.5,2,,2
159,2,6.9474,2,33.7813,2,146.1,2,54.5,2,,2
160,2,6.9465,2,33.7818,2,146.4,2,54.5,2,,2
161,2,6.9397,2,33.7849,2,146.4,2,54.5,2,,2
162,2,6.9378,2,33.7864,2,146.4,2,54.5,2,,2
163,2,6.9332,2,33.7875,2,146.3,2,54.5,2,,2
164,2,6.9305,2,33.7879,2,146.0,2,54.5,2,,2
165,2,6.9211,2,33.7891,2,145.7,2,54.5,2,,2
166,2,6.9031,2,33.7939,2,145.4,2,54.5,2,,2
167,2,6.8947,2,33.795,2,144.7,2,54.5,2,,2
168,2,6.8902,2,33.799,2,144.6,2,54.5,2,,2
169,2,6.8797,2,33.8036,2,144.4,2,54.5,2,,2
170,2,6.8696,2,33.8051,2,143.5,2,54.5,2,,2
171,2,6.8619,2,33.8068,2,143.0,2,54.5,2,,2
172,2,6.8552,2,33.8093,2,142.8,2,54.5,2,,2
173,2,6.8488,2,33.8133,2,142.6,2,54.5,2,,2
174,2,6.8453,2,33.8158,2,142.5,2,54.5,2,,2
175,2,6.84,2,33.8184,2,142.2,2,54.5,2,,2
176,2,6.8325,2,33.8228,2,141.2,2,54.5,2,,2
177,2,6.8273,2,33.8258,2,139.7,2,54.5,2,,2
178,2,6.8236,2,33.828,2,137.9,2,54.5,2,,2
179,2,6.8075,2,33.8328,2,136.5,2,54.5,2,,2
180,2,6.8022,2,33.8348,2,136.0,2,54.5,2,,2
181,2,6.7979,2,33.8365,2,135.4,2,54.5,2,,2
182,2,6.7957,2,33.8371,2,134.9,2,54.5,2,,2
183,2,6.7909,2,33.838,2,134.6,2,54.5,2,,2
184,2,6.7801,2,33.8394,2,134.4,2,54.5,2,,2
185,2,6.773,2,33.8408,2,134.2,2,54.5,2,,2
186,2,6.7721,2,33.8411,2,133.9,2,54.5,2,,2
187,2,6.772,2,33.8412,2,133.8,2,54.5,2,,2
188,2,6.7681,2,33.8417,2,133.9,2,54.5,2,,2
189,2,6.7605,2,33.843,2,134.0,2,54.5,2,,2
191,2,6.7563,2,33.8452,2,134.1,2,54.5,2,,2
192,2,6.7576,2,33.8479,2,133.6,2,54.5,2,,2
193,2,6.7498,2,33.8504,2,133.2,2,54.5,2,,2
194,2,6.7266,2,33.853,2,133.0,2,54.5,2,,2
195,2,6.6971,2,33.8581,2,132.8,2,54.5,2,,2
196,2,6.6922,2,33.8582,2,132.3,2,54.5,2,,2
197,2,6.6911,2,33.8583,2,132.0,2,54.5,2,,2
198,2,6.6868,2,33.8585,2,131.7,2,54.5,2,,2
199,2,6.685,2,33.8584,2,131.6,2,54.5,2,,2
200,2,6.6846,2,33.8582,2,131.8,2,54.5,2,,2
201,2,6.6774,2,33.8583,2,132.7,2,54.5,2,,2
202,2,6.6765,2,33.8601,2,132.8,2,54.5,2,,2
203,2,6.6512,2,33.8641,2,132.7,2,54.5,2,,2
204,2,6.6422,2,33.8654,2,132.7,2,54.5,2,,2
205,2,6.6417,2,33.8669,2,131.4,2,54.5,2,,2
206,2,6.6424,2,33.8679,2,130.9,2,54.5,2,,2
207,2,6.6417,2,33.8705,2,130.6,2,54.5,2,,2
208,2,6.6370000000000005,2,33.8713,2,130.2,2,54.5,2,,2
209,2,6.6307,2,33.8708,2,129.6,2,54.5,2,,2
210,2,6.622000000000001,2,33.8702,2,128.9,2,54.5,2,,2
211,2,6.6099,2,33.8707,2,128.2,2,54.5,2,,2
212,2,6.606,2,33.8713,2,127.6,2,54.5,2,,2
213,2,6.6049,2,33.8709,2,127.5,2,54.5,2,,2
214,2,6.6079,2,33.8711,2,127.4,2,54.5,2,,2
215,2,6.5968,2,33.8722,2,127.5,2,54.5,2,,2
216,2,6.5846,2,33.8725,2,127.5,2,54.5,2,,2
217,2,6.5749,2,33.8722,2,127.3,2,54.5,2,,2
218,2,6.5635,2,33.8715,2,127.3,2,54.5,2,,2
219,2,6.5327,2,33.8738,2,127.9,2,54.5,2,,2
220,2,6.5126,2,33.8799,2,128.6,2,54.5,2,,2
221,2,6.4927,2,33.8815,2,128.7,2,54.5,2,,2
222,2,6.4842,2,33.8819,2,126.8,2,54.5,2,,2
223,2,6.4801,2,33.882,2,125.2,2,54.5,2,,2
224,2,6.4718,2,33.8829,2,125.2,2,54.5,2,,2
225,2,6.4534,2,33.8834,2,125.0,2,54.5,2,,2
226,2,6.4391,2,33.8834,2,124.8,2,54.7,2,,2
227,2,6.4245,2,33.8837,2,124.4,2,54.7,2,,2
228,2,6.4168,2,33.8843,2,124.6,2,54.7,2,,2
229,2,6.4106,2,33.8834,2,124.7,2,54.7,2,,2
231,2,6.3425,2,33.885,2,125.8,2,54.7,2,,2
232,2,6.3297,2,33.8859,2,126.0,2,54.7,2,,2
233,2,6.3195,2,33.8857,2,126.0,2,54.7,2,,2
234,2,6.3087,2,33.8861,2,126.2,2,54.7,2,,2
235,2,6.3077,2,33.885999999999996,2,126.5,2,54.7,2,,2
236,2,6.309,2,33.8855,2,126.9,2,54.7,2,,2
237,2,6.3065,2,33.8847,2,127.2,2,54.7,2,,2
238,2,6.3019,2,33.8844,2,127.2,2,54.7,2,,2
239,2,6.3011,2,33.8843,2,127.1,2,54.7,2,,2
240,2,6.2925,2,33.8847,2,127.0,2,54.7,2,,2
241,2,6.2764,2,33.8854,2,127.0,2,54.7,2,,2
242,2,6.2719,2,33.8855,2,126.8,2,54.7,2,,2
243,2,6.2721,2,33.885999999999996,2,126.9,2,54.7,2,,2
244,2,6.2691,2,33.8861,2,127.1,2,54.7,2,,2
246,2,6.1961,2,33.8871,2,127.4,2,54.7,2,,2
247,2,6.1773,2,33.8868,2,127.4,2,54.7,2,,2
248,2,6.1406,2,33.8871,2,127.4,2,54.7,2,,2
249,2,6.136,2,33.8873,2,127.0,2,54.7,2,,2
250,2,6.1346,2,33.8869,2,127.0,2,54.7,2,,2
251,2,6.1341,2,33.8865,2,127.3,2,54.7,2,,2
252,2,6.1339,2,33.8875,2,127.2,2,54.7,2,,2
253,2,6.129,2,33.8883,2,126.4,2,54.7,2,,2
254,2,6.1245,2,33.8884,2,126.5,2,54.7,2,,2
255,2,6.0922,2,33.8858,2,126.5,2,54.7,2,,2
256,2,6.0588,2,33.8849,2,125.8,2,54.7,2,,2
257,2,6.0418,2,33.8853,2,125.4,2,54.7,2,,2
258,2,6.0137,2,33.8856,2,126.8,2,54.7,2,,2
259,2,5.9698,2,33.8851,2,128.1,2,54.7,2,,2
260,2,5.9305,2,33.8849,2,128.3,2,54.7,2,,2
261,2,5.9161,2,33.8849,2,128.0,2,54.5,2,,2
262,2,5.9107,2,33.8854,2,127.4,2,54.5,2,,2
263,2,5.9083,2,33.8863,2,127.4,2,54.7,2,,2
264,2,5.8969,2,33.8854,2,127.0,2,54.5,2,,2
265,2,5.8829,2,33.8859,2,126.4,2,54.5,2,,2
266,2,5.8699,2,33.8874,2,125.8,2,54.5,2,,2
267,2,5.8642,2,33.8888,2,125.5,2,54.5,2,,2
268,2,5.8344,2,33.8884,2,123.7,2,54.5,2,,2
269,2,5.8036,2,33.89,2,123.4,2,54.5,2,,2
270,2,5.7834,2,33.8898,2,122.7,2,54.5,2,,2
271,2,5.7807,2,33.8901,2,121.9,2,54.5,2,,2
272,2,5.7599,2,33.8901,2,121.4,2,54.5,2,,2
273,2,5.7407,2,33.8905,2,120.9,2,54.5,2,,2
274,2,5.7216,2,33.8931,2,120.5,2,54.5,2,,2
275,2,5.7059,2,33.8957,2,118.9,2,54.5,2,,2
276,2,5.6806,2,33.8955,2,117.7,2,54.5,2,,2
277,2,5.67,2,33.8958,2,116.5,2,54.5,2,,2
278,2,5.6618,2,33.8964,2,115.6,2,54.5,2,,2
279,2,5.6551,2,33.8971,2,114.5,2,54.5,2,,2
280,2,5.6524,2,33.8975,2,113.8,2,54.5,2,,2
281,2,5.6518,2,33.8975,2,113.2,2,54.5,2,,2
282,2,5.6483,2,33.8991,2,112.6,2,54.5,2,,2
283,2,5.6422,2,33.9013,2,112.1,2,54.5,2,,2
285,2,5.6199,2,33.9024,2,111.6,2,54.5,2,,2
286,2,5.6162,2,33.9028,2,111.1,2,54.5,2,,2
287,2,5.6065,2,33.9032,2,109.2,2,54.5,2,,2
288,2,5.6009,2,33.9053,2,107.0,2,54.5,2,,2
289,2,5.5933,2,33.9069,2,105.7,2,54.5,2,,2
290,2,5.5769,2,33.9072,2,104.7,2,54.5,2,,2
291,2,5.5612,2,33.9072,2,103.8,2,54.5,2,,2
292,2,5.5432,2,33.9082,2,102.8,2,54.5,2,,2
293,2,5.5407,2,33.9085,2,102.1,2,54.5,2,,2
295,2,5.5147,2,33.9115,2,102.1,2,54.5,2,,2
296,2,5.5238,2,33.9145,2,101.3,2,54.5,2,,2
297,2,5.5172,2,33.9148,2,100.4,2,54.5,2,,2
298,2,5.5198,2,33.9166,2,99.6,2,54.5,2,,2
299,2,5.5194,2,33.9174,2,98.4,2,54.5,2,,2
300,2,5.5234,2,33.9213,2,97.3,2,54.5,2,,2
301,2,5.5328,2,33.9242,2,96.3,2,54.5,2,,2
304,2,5.4452,2,33.9193,2,93.8,2,54.5,2,,2
305,2,5.4331,2,33.9188,2,93.8,2,54.5,2,,2
306,2,5.4213,2,33.9182,2,93.6,2,54.5,2,,2
