CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Transmissivity and PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#Fluorescence data were removed because of severe problems with spikes and higher than usual values at depth suggesting problems with the cable. ,,,,,,,,,,,,,,,,
#The data may be obtained from the chief scientist. ,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The precision of the Oxygen:Dissolved:CTD channel is difficult to estimate because the comparison with bottles was very noisy but roughly the Oxygen:Dissolved:CTD data should be considered:,,,,,,,,,,,,,,,,
#      • ±0.15 ml/l from 0 to 100 dbar,,,,,,,,,,,,,,,,
#      • ±0.5 ml/l from 100 to 400 dbar (values tend to be too high),,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 400 to 600 dbar (values tend to be slightly high),,,,,,,,,,,,,,,,
#      • ±0.04 ml/l from 600 to 2000 dbar (values tend to be slightly low),,,,,,,,,,,,,,,,
#      • ±0.01 ml/l below 2500 dbar,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Transmissometer #1005DR was calibrated in March 2008 and drifted significantly but steadily until July 2009.,,,,,,,,,,,,,,,,
#Then a sudden shift occurred so that maximum values between September 2009 and July 2010 were very low by ~25% / m. ,,,,,,,,,,,,,,,,
#In August 2010 a study was made of transmissivity that led to a decision to apply post-processing corrections to all cruises between March 2008 and June 2010. ,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#Transmissivity data from this cruise were corrected by multiplying the original values by correction factor 2.26 which was based on the assumption that deep offshore transmissivity should be about 62% / m.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#For details on the transmissometer post-processing see: Transmissometer_1005DR_Corrections.pdf.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#These data should still be considered nominal.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on the processing see processing file 2010-01-proc.pdf,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD {kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],PAR:CTD [µE/m^2/sec],Comments
#,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20100202
STNBR = P3
CASTNO = 1
DATE = 04/02/2010
TIME =  02:06
LATITUDE = 48.625170000000004
LONGITUDE = -126.336
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,UE/m^2/sec,
2,2,9.8035,2,32.4218,2,277.6,2,56.3,2,,2
3,2,9.8036,2,32.422,2,277.6,2,56.3,2,,2
4,2,9.8031,2,32.4223,2,277.1,2,56.5,2,,2
5,2,9.8033,2,32.4222,2,276.7,2,56.5,2,,2
6,2,9.8036,2,32.4224,2,277.0,2,56.5,2,,2
7,2,9.8043,2,32.4223,2,277.7,2,56.5,2,,2
8,2,9.8052,2,32.4215,2,277.1,2,56.5,2,,2
9,2,9.8068,2,32.4202,2,277.2,2,56.3,2,,2
10,2,9.8051,2,32.4204,2,278.0,2,56.3,2,,2
11,2,9.8047,2,32.4204,2,278.3,2,56.5,2,,2
12,2,9.805,2,32.4205,2,277.7,2,56.3,2,,2
13,2,9.8052,2,32.4204,2,278.5,2,56.3,2,,2
14,2,9.8058,2,32.4202,2,278.3,2,56.3,2,,2
15,2,9.806000000000001,2,32.4203,2,278.1,2,56.3,2,,2
16,2,9.8061,2,32.4204,2,277.9,2,56.3,2,,2
17,2,9.8066,2,32.4204,2,277.9,2,56.3,2,,2
18,2,9.8072,2,32.4203,2,278.1,2,56.3,2,,2
19,2,9.8067,2,32.4203,2,277.8,2,56.3,2,,2
20,2,9.8083,2,32.4204,2,278.4,2,56.3,2,,2
21,2,9.8082,2,32.4203,2,278.7,2,56.3,2,,2
22,2,9.8088,2,32.4203,2,278.7,2,56.3,2,,2
23,2,9.8088,2,32.4204,2,278.5,2,56.3,2,,2
24,2,9.8087,2,32.4204,2,278.5,2,56.3,2,,2
25,2,9.8089,2,32.4204,2,278.0,2,56.3,2,,2
26,2,9.8091,2,32.4207,2,278.1,2,56.3,2,,2
27,2,9.8094,2,32.4208,2,278.1,2,56.3,2,,2
28,2,9.8091,2,32.4206,2,278.0,2,56.3,2,,2
29,2,9.8089,2,32.4206,2,278.2,2,56.3,2,,2
30,2,9.8091,2,32.4205,2,278.4,2,56.3,2,,2
31,2,9.8078,2,32.421,2,278.3,2,56.5,2,,2
32,2,9.8076,2,32.421,2,278.0,2,56.5,2,,2
33,2,9.8076,2,32.4211,2,277.6,2,56.5,2,,2
34,2,9.8101,2,32.4209,2,277.6,2,56.3,2,,2
35,2,9.81,2,32.4212,2,277.5,2,56.5,2,,2
36,2,9.8098,2,32.421,2,277.2,2,56.5,2,,2
37,2,9.8046,2,32.4221,2,277.2,2,56.7,2,,2
38,2,9.804,2,32.4225,2,277.5,2,56.7,2,,2
39,2,9.802999999999999,2,32.4226,2,276.9,2,56.7,2,,2
40,2,9.7999,2,32.4233,2,278.1,2,57.0,2,,2
41,2,9.7972,2,32.4241,2,278.1,2,57.0,2,,2
42,2,9.7963,2,32.4258,2,277.9,2,57.2,2,,2
43,2,9.793,2,32.4302,2,277.5,2,57.4,2,,2
44,2,9.7917,2,32.4335,2,277.5,2,57.9,2,,2
45,2,9.79,2,32.4354,2,277.2,2,58.1,2,,2
46,2,9.7893,2,32.4373,2,275.9,2,58.3,2,,2
47,2,9.7862,2,32.4399,2,275.3,2,58.5,2,,2
48,2,9.7822,2,32.4411,2,275.3,2,58.8,2,,2
