CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Transmissivity and PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#Fluorescence data were removed because of severe problems with spikes and higher than usual values at depth suggesting problems with the cable. ,,,,,,,,,,,,,,,,
#The data may be obtained from the chief scientist. ,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#The precision of the Oxygen:Dissolved:CTD channel is difficult to estimate because the comparison with bottles was very noisy but roughly the Oxygen:Dissolved:CTD data should be considered:,,,,,,,,,,,,,,,,
#      • ±0.15 ml/l from 0 to 100 dbar,,,,,,,,,,,,,,,,
#      • ±0.5 ml/l from 100 to 400 dbar (values tend to be too high),,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 400 to 600 dbar (values tend to be slightly high),,,,,,,,,,,,,,,,
#      • ±0.04 ml/l from 600 to 2000 dbar (values tend to be slightly low),,,,,,,,,,,,,,,,
#      • ±0.01 ml/l below 2500 dbar,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#Transmissometer #1005DR was calibrated in March 2008 and drifted significantly but steadily until July 2009.,,,,,,,,,,,,,,,,
#Then a sudden shift occurred so that maximum values between September 2009 and July 2010 were very low by ~25% / m. ,,,,,,,,,,,,,,,,
#In August 2010 a study was made of transmissivity that led to a decision to apply post-processing corrections to all cruises between March 2008 and June 2010. ,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#Transmissivity data from this cruise were corrected by multiplying the original values by correction factor 2.26 which was based on the assumption that deep offshore transmissivity should be about 62% / m.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#For details on the transmissometer post-processing see: Transmissometer_1005DR_Corrections.pdf.,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#These data should still be considered nominal.,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#For details on the processing see processing file 2010-01-proc.pdf,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:Practical:CTD [PSS-78],Sigma-t:CTD {kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],PAR:CTD [µE/m^2/sec],Comments
#,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20100202
STNBR = P10
CASTNO = 1
DATE = 11/02/2010
TIME =  12:49
LATITUDE = 48.89283
LONGITUDE = -129.66566
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,UE/m^2/sec,
3,2,8.63,2,32.3122,2,286.3,2,50.6,2,,2
4,2,8.6295,2,32.3135,2,286.7,2,50.8,2,,2
5,2,8.6291,2,32.3145,2,286.7,2,50.8,2,,2
6,2,8.6291,2,32.3144,2,286.7,2,50.8,2,,2
7,2,8.6295,2,32.3144,2,286.7,2,50.8,2,,2
8,2,8.6297,2,32.3145,2,286.3,2,50.8,2,,2
9,2,8.6296,2,32.3147,2,285.5,2,50.8,2,,2
10,2,8.6297,2,32.3147,2,285.4,2,50.8,2,,2
11,2,8.6294,2,32.3147,2,286.3,2,50.8,2,,2
12,2,8.629,2,32.3148,2,286.6,2,50.8,2,,2
13,2,8.6292,2,32.3151,2,285.9,2,50.8,2,,2
14,2,8.6294,2,32.3152,2,286.1,2,50.8,2,,2
15,2,8.6294,2,32.3156,2,287.0,2,50.8,2,,2
16,2,8.6292,2,32.3158,2,286.8,2,50.8,2,,2
17,2,8.6294,2,32.3155,2,287.3,2,50.8,2,,2
18,2,8.6294,2,32.3156,2,286.9,2,50.8,2,,2
19,2,8.629,2,32.3173,2,287.5,2,50.8,2,,2
20,2,8.629,2,32.3176,2,286.8,2,51.1,2,,2
21,2,8.6297,2,32.3168,2,286.5,2,50.8,2,,2
22,2,8.6291,2,32.3181,2,286.5,2,50.8,2,,2
23,2,8.6294,2,32.3176,2,286.2,2,50.8,2,,2
24,2,8.6293,2,32.3176,2,286.4,2,50.8,2,,2
25,2,8.6293,2,32.3177,2,286.1,2,50.8,2,,2
26,2,8.6295,2,32.3176,2,286.5,2,50.8,2,,2
27,2,8.6296,2,32.3175,2,286.4,2,50.8,2,,2
28,2,8.6298,2,32.3173,2,285.8,2,50.8,2,,2
29,2,8.6301,2,32.3172,2,286.0,2,50.8,2,,2
30,2,8.6306,2,32.3166,2,286.2,2,50.8,2,,2
31,2,8.6307,2,32.3164,2,285.9,2,50.8,2,,2
32,2,8.6307,2,32.3166,2,286.3,2,50.8,2,,2
33,2,8.6301,2,32.3175,2,286.6,2,50.8,2,,2
34,2,8.6283,2,32.3207,2,286.8,2,50.8,2,,2
35,2,8.6283,2,32.321,2,286.7,2,50.8,2,,2
36,2,8.6285,2,32.3207,2,286.8,2,50.8,2,,2
37,2,8.6286,2,32.3204,2,286.8,2,50.8,2,,2
38,2,8.6289,2,32.3202,2,286.1,2,50.8,2,,2
39,2,8.6277,2,32.3212,2,286.1,2,50.8,2,,2
40,2,8.6274,2,32.3215,2,287.0,2,50.8,2,,2
41,2,8.6281,2,32.3209,2,286.3,2,50.8,2,,2
42,2,8.628,2,32.3212,2,286.2,2,50.8,2,,2
43,2,8.6273,2,32.3221,2,286.1,2,50.8,2,,2
44,2,8.6263,2,32.3226,2,285.7,2,50.8,2,,2
45,2,8.6262,2,32.3226,2,285.7,2,50.8,2,,2
46,2,8.6262,2,32.3226,2,286.7,2,50.8,2,,2
47,2,8.6262,2,32.3226,2,287.4,2,50.8,2,,2
48,2,8.6264,2,32.3227,2,286.8,2,50.8,2,,2
49,2,8.6269,2,32.3226,2,286.6,2,50.8,2,,2
50,2,8.6215,2,32.3235,2,286.3,2,50.8,2,,2
51,2,8.6017,2,32.3283,2,286.8,2,50.8,2,,2
52,2,8.6057,2,32.3277,2,286.7,2,50.8,2,,2
53,2,8.6065,2,32.3273,2,286.8,2,50.8,2,,2
54,2,8.602,2,32.3278,2,286.6,2,50.8,2,,2
55,2,8.5718,2,32.332,2,286.1,2,50.8,2,,2
56,2,8.5448,2,32.3361,2,285.8,2,51.1,2,,2
57,2,8.5378,2,32.3369,2,285.7,2,51.1,2,,2
59,2,8.4894,2,32.3492,2,288.0,2,51.5,2,,2
60,2,8.476,2,32.353,2,287.7,2,51.8,2,,2
61,2,8.4755,2,32.3526,2,286.7,2,51.8,2,,2
62,2,8.4461,2,32.3601,2,285.7,2,52.0,2,,2
63,2,8.3894,2,32.3778,2,285.8,2,52.4,2,,2
64,2,8.3702,2,32.3835,2,285.1,2,52.4,2,,2
65,2,8.3513,2,32.387,2,284.7,2,52.7,2,,2
66,2,8.3191,2,32.3965,2,284.4,2,52.7,2,,2
67,2,8.3083,2,32.3991,2,284.4,2,52.7,2,,2
68,2,8.2972,2,32.4014,2,284.0,2,52.9,2,,2
69,2,8.2899,2,32.4029,2,283.2,2,52.7,2,,2
70,2,8.2901,2,32.4013,2,283.3,2,52.7,2,,2
71,2,8.2774,2,32.4051,2,283.2,2,52.7,2,,2
72,2,8.2335,2,32.4177,2,283.1,2,52.9,2,,2
73,2,8.183,2,32.4331,2,283.1,2,53.1,2,,2
74,2,8.1268,2,32.453,2,282.8,2,53.1,2,,2
75,2,8.0987,2,32.4628,2,281.7,2,53.1,2,,2
76,2,8.0259,2,32.4869,2,280.5,2,53.1,2,,2
77,2,7.8811,2,32.5293,2,279.1,2,53.3,2,,2
78,2,7.4093,2,32.6615,2,279.5,2,54.0,2,,2
79,2,7.2465,2,32.707,2,277.1,2,54.2,2,,2
80,2,7.1652,2,32.7236,2,273.5,2,54.2,2,,2
81,2,7.0889,2,32.7453,2,270.5,2,54.5,2,,2
82,2,7.0016,2,32.768,2,267.7,2,54.5,2,,2
83,2,6.941,2,32.7879,2,266.4,2,54.5,2,,2
84,2,6.8835,2,32.8165,2,264.9,2,54.5,2,,2
85,2,6.8408,2,32.852,2,261.6,2,54.7,2,,2
86,2,6.8429,2,32.8878,2,258.9,2,54.7,2,,2
87,2,6.8855,2,32.9976,2,256.7,2,54.7,2,,2
88,2,6.8892,2,33.0125,2,252.8,2,54.7,2,,2
89,2,6.9037,2,33.038000000000004,2,244.8,2,54.7,2,,2
90,2,6.9095,2,33.0452,2,237.1,2,54.7,2,,2
91,2,6.9113,2,33.0454,2,232.8,2,54.7,2,,2
92,2,6.9193,2,33.0554,2,231.9,2,54.7,2,,2
93,2,6.9831,2,33.1081,2,230.7,2,54.7,2,,2
94,2,7.0123,2,33.1268,2,230.0,2,54.7,2,,2
95,2,7.0207,2,33.1315,2,228.5,2,54.7,2,,2
96,2,7.0326,2,33.1402,2,226.2,2,54.7,2,,2
97,2,7.0657,2,33.1573,2,224.2,2,54.7,2,,2
98,2,7.1066,2,33.181999999999995,2,224.1,2,54.7,2,,2
99,2,7.1117,2,33.1865,2,220.3,2,54.7,2,,2
100,2,7.115,2,33.1896,2,213.8,2,54.7,2,,2
101,2,7.1179,2,33.1925,2,210.7,2,54.7,2,,2
102,2,7.1398,2,33.2181,2,209.6,2,54.7,2,,2
103,2,7.1651,2,33.2518,2,209.1,2,54.7,2,,2
