CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Based on the recommendation from Sea-Bird the method for calibration of Oxygen:Dissolved:CTD concentration was changed from that used for 2011 and some 2012 cruises. ,,,,,,,,,,,,,,,,,
#For more information see the Sea-Bird Application Note #64-2 (Sea-Bird_64-2_Jun2012.pdf).  ,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are of lower quality than usual with small-scale noise.,,,,,,,,,,,,,,,,,
#For casts 0018 to 0022 the Oxygen:Dissolved:CTD data are not considered reliable enough to archive based on comparison with bottles and differences between primary and secondary temperatures for those casts.,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#For other casts the Oxygen:Dissolved:CTD values are considered roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.5 ml/l from 0 to 150 dbar,,,,,,,,,,,,,,,,,
#      • ±0.3 ml/l from 150 to 300 dbar,,,,,,,,,,,,,,,,,
#      • ±0.1 ml/l from 300 to 500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.06 ml/l from 500 to 2500 dbar,,,,,,,,,,,,,,,,,
#      • ±0.04 ml/l below 2500 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#The Salinity:CTD data was found to be low by an average of <0.002.,,,,,,,,,,,,,,,,,
#No recalibration was applied.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details processing details see the processing report 2013-17-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [%/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Seapoint [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20130607
STNBR = P22
CASTNO = 1
DATE = 20130615
TIME =  04:04
LATITUDE = 49.697829999999996
LONGITUDE = -140.66634
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,MG/M^3,,UE/m^2/sec,
5,2,9.3643,2,32.5218,2,294.1,2,1.4980000000000002,2,,2
6,2,9.3644,2,32.5218,2,294.0,2,1.544,2,,2
7,2,9.3649,2,32.5208,2,294.9,2,1.517,2,,2
8,2,9.3651,2,32.5208,2,294.8,2,1.537,2,,2
9,2,9.365,2,32.521,2,294.0,2,1.615,2,,2
10,2,9.3621,2,32.523,2,294.0,2,1.482,2,,2
11,2,9.3618,2,32.524,2,294.3,2,1.4680000000000002,2,,2
12,2,9.363999999999999,2,32.5231,2,294.6,2,1.476,2,,2
13,2,9.3502,2,32.5243,2,294.6,2,1.484,2,,2
14,2,9.3264,2,32.5255,2,295.0,2,1.4869999999999999,2,,2
15,2,9.2874,2,32.5271,2,294.8,2,1.485,2,,2
16,2,9.2709,2,32.5282,2,294.6,2,1.476,2,,2
17,2,9.2568,2,32.5278,2,294.9,2,1.5519999999999998,2,,2
18,2,9.2367,2,32.5289,2,294.9,2,1.5219999999999998,2,,2
19,2,9.1923,2,32.5296,2,295.0,2,1.501,2,,2
20,2,9.1639,2,32.5311,2,295.4,2,1.51,2,,2
21,2,9.1441,2,32.5309,2,295.6,2,1.52,2,,2
22,2,9.1304,2,32.531,2,295.8,2,1.536,2,,2
23,2,9.1158,2,32.5303,2,295.9,2,1.621,2,,2
24,2,9.1029,2,32.5314,2,296.0,2,1.5959999999999999,2,,2
25,2,9.0808,2,32.5309,2,295.9,2,1.5719999999999998,2,,2
26,2,9.065,2,32.5313,2,295.5,2,1.571,2,,2
27,2,9.0556,2,32.5316,2,295.1,2,1.614,2,,2
28,2,9.041,2,32.5314,2,294.2,2,1.611,2,,2
29,2,9.0023,2,32.5306,2,292.6,2,1.6119999999999999,2,,2
30,2,8.9147,2,32.533,2,295.0,2,1.6059999999999999,2,,2
31,2,8.7806,2,32.5371,2,296.6,2,1.656,2,,2
32,2,8.6638,2,32.5363,2,296.0,2,1.875,2,,2
33,2,8.3483,2,32.5413,2,301.5,2,1.656,2,,2
34,2,8.1531,2,32.5444,2,305.4,2,1.6840000000000002,2,,2
35,2,7.9291,2,32.5405,2,307.6,2,1.676,2,,2
36,2,7.4835,2,32.5475,2,309.9,2,1.6740000000000002,2,,2
37,2,7.2803,2,32.554,2,310.7,2,1.699,2,,2
38,2,7.1593,2,32.5539,2,311.6,2,1.828,2,,2
39,2,7.0106,2,32.5597,2,312.9,2,1.9369999999999998,2,,2
40,2,6.849,2,32.5689,2,313.7,2,1.734,2,,2
41,2,6.6454,2,32.5719,2,314.2,2,1.744,2,,2
42,2,6.4741,2,32.5786,2,314.7,2,1.867,2,,2
43,2,6.4283,2,32.5764,2,314.9,2,1.72,2,,2
44,2,6.4029,2,32.5741,2,315.3,2,1.72,2,,2
45,2,6.3509,2,32.579,2,314.9,2,1.692,2,,2
46,2,6.2954,2,32.5837,2,314.8,2,1.6880000000000002,2,,2
47,2,6.2216,2,32.5877,2,315.3,2,1.6780000000000002,2,,2
48,2,6.1724,2,32.5919,2,313.8,2,1.6969999999999998,2,,2
49,2,6.1136,2,32.5915,2,312.5,2,1.739,2,,2
50,2,6.0888,2,32.5984,2,312.0,2,1.653,2,,2
51,2,6.0965,2,32.6091,2,312.0,2,1.629,2,,2
52,2,6.0604,2,32.6085,2,312.7,2,1.6230000000000002,2,,2
53,2,6.0079,2,32.6042,2,312.9,2,1.617,2,,2
54,2,5.976,2,32.6008,2,312.4,2,1.6119999999999999,2,,2
55,2,5.9227,2,32.5991,2,312.3,2,1.599,2,,2
56,2,5.916,2,32.6054,2,311.7,2,1.599,2,,2
57,2,5.8987,2,32.6083,2,311.1,2,1.5819999999999999,2,,2
58,2,5.8799,2,32.6096,2,310.9,2,1.591,2,,2
59,2,5.8642,2,32.6139,2,310.8,2,1.595,2,,2
60,2,5.8585,2,32.6202,2,310.3,2,1.581,2,,2
61,2,5.853,2,32.6217,2,310.2,2,1.58,2,,2
62,2,5.8369,2,32.6214,2,310.3,2,1.57,2,,2
63,2,5.8268,2,32.6225,2,310.4,2,1.578,2,,2
64,2,5.8221,2,32.6241,2,308.9,2,1.58,2,,2
65,2,5.8197,2,32.6245,2,309.3,2,1.571,2,,2
66,2,5.8227,2,32.626999999999995,2,309.5,2,1.5590000000000002,2,,2
67,2,5.8223,2,32.629,2,309.3,2,1.565,2,,2
68,2,5.7955,2,32.6271,2,309.4,2,1.564,2,,2
69,2,5.7656,2,32.6249,2,309.5,2,1.555,2,,2
70,2,5.7621,2,32.6255,2,309.8,2,1.557,2,,2
71,2,5.7489,2,32.626999999999995,2,307.7,2,1.545,2,,2
72,2,5.7741,2,32.6365,2,307.3,2,1.54,2,,2
73,2,5.7804,2,32.6396,2,307.1,2,1.5290000000000001,2,,2
74,2,5.7445,2,32.6372,2,307.3,2,1.5130000000000001,2,,2
75,2,5.7472,2,32.6408,2,307.3,2,1.526,2,,2
76,2,5.7486,2,32.6418,2,307.4,2,1.518,2,,2
77,2,5.7515,2,32.6429,2,307.4,2,1.507,2,,2
78,2,5.7489,2,32.6429,2,307.4,2,1.495,2,,2
79,2,5.7359,2,32.6429,2,305.8,2,1.4880000000000002,2,,2
80,2,5.7439,2,32.6456,2,305.7,2,1.474,2,,2
81,2,5.7505,2,32.6491,2,305.5,2,1.4809999999999999,2,,2
82,2,5.7523,2,32.65,2,305.6,2,1.474,2,,2
83,2,5.747999999999999,2,32.6505,2,305.7,2,1.456,2,,2
84,2,5.7286,2,32.6497,2,306.2,2,1.472,2,,2
85,2,5.6845,2,32.6457,2,306.7,2,1.472,2,,2
86,2,5.6741,2,32.6446,2,306.5,2,1.479,2,,2
87,2,5.6639,2,32.6459,2,306.3,2,1.4709999999999999,2,,2
88,2,5.6479,2,32.6462,2,306.2,2,1.4669999999999999,2,,2
89,2,5.6411,2,32.6487,2,305.4,2,1.464,2,,2
90,2,5.6061,2,32.6526,2,305.2,2,1.454,2,,2
91,2,5.5844,2,32.6537,2,305.3,2,1.452,2,,2
92,2,5.5661,2,32.6572,2,305.4,2,1.459,2,,2
93,2,5.5515,2,32.6587,2,305.6,2,1.4469999999999998,2,,2
94,2,5.5359,2,32.659,2,305.8,2,1.432,2,,2
95,2,5.5188,2,32.6591,2,305.9,2,1.4240000000000002,2,,2
96,2,5.5145,2,32.6607,2,305.6,2,1.419,2,,2
97,2,5.5277,2,32.6625,2,300.8,2,1.416,2,,2
98,2,5.5341,2,32.6671,2,299.3,2,1.3980000000000001,2,,2
99,2,5.5618,2,32.6769,2,299.3,2,1.383,2,,2
100,2,5.5562,2,32.6824,2,298.8,2,1.3719999999999999,2,,2
101,2,5.5359,2,32.6846,2,299.0,2,1.3719999999999999,2,,2
102,2,5.5034,2,32.6861,2,299.2,2,1.3619999999999999,2,,2
103,2,5.4193,2,32.6858,2,299.4,2,1.3559999999999999,2,,2
105,2,5.3534,2,32.6912,2,297.7,2,1.348,2,,2
106,2,5.3345,2,32.6912,2,296.8,2,1.354,2,,2
107,2,5.3041,2,32.6929,2,296.5,2,1.354,2,,2
