CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,MG/M^3,,UE/m^2/sec,
54,2,7.8228,2,32.45,2,,2,0.753,2,,2
55,2,7.7712,2,32.4732,2,,2,0.74,2,,2
56,2,7.7212,2,32.5012,2,,2,0.727,2,,2
57,2,7.7035,2,32.5123,2,,2,0.715,2,,2
58,2,7.6904,2,32.5237,2,,2,0.701,2,,2
59,2,7.6770000000000005,2,32.5387,2,,2,0.693,2,,2
60,2,7.6687,2,32.5454,2,,2,0.685,2,,2
61,2,7.6566,2,32.555,2,,2,0.68,2,,2
62,2,7.6239,2,32.5841,2,,2,0.6709999999999999,2,,2
63,2,7.615,2,32.6407,2,,2,0.66,2,,2
64,2,7.6102,2,32.6765,2,,2,0.6509999999999999,2,,2
65,2,7.6046,2,32.701,2,,2,0.645,2,,2
66,2,7.5995,2,32.7196,2,,2,0.638,2,,2
67,2,7.5952,2,32.7334,2,,2,0.64,2,,2
68,2,7.5945,2,32.7351,2,,2,0.64,2,,2
69,2,7.5953,2,32.7362,2,,2,0.635,2,,2
70,2,7.5959,2,32.7388,2,,2,0.636,2,,2
71,2,7.5932,2,32.748000000000005,2,,2,0.63,2,,2
72,2,7.5786,2,32.7934,2,,2,0.627,2,,2
73,2,7.5569,2,32.8953,2,,2,0.619,2,,2
74,2,7.5352,2,33.0006,2,,2,0.608,2,,2
75,2,7.5341,2,33.0145,2,,2,0.607,2,,2
76,2,7.5315,2,33.0412,2,,2,0.603,2,,2
77,2,7.5319,2,33.0736,2,,2,0.6,2,,2
78,2,7.5303,2,33.1024,2,,2,0.589,2,,2
79,2,7.5293,2,33.1405,2,,2,0.584,2,,2
80,2,7.5284,2,33.1635,2,,2,0.5820000000000001,2,,2
81,2,7.5247,2,33.1755,2,,2,0.5770000000000001,2,,2
82,2,7.522,2,33.1841,2,,2,0.573,2,,2
