CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDFLUOR_TSG,CTDFLUOR_TSG_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,MG/M^3,,UE/m^2/sec,
45.0,2,8.8361,2,32.5376,2,269.5,2,,2,0.727,2,,2,0.0,2
46.0,2,8.8448,2,32.5448,2,269.1,2,,2,0.72,2,,2,0.0,2
47.0,2,8.8507,2,32.5497,2,268.3,2,,2,0.737,2,,2,0.0,2
48.0,2,8.8585,2,32.5566,2,267.9,2,,2,0.72,2,,2,0.0,2
49.0,2,8.8659,2,32.5642,2,267.5,2,,2,0.701,2,,2,0.0,2
50.0,2,8.8722,2,32.571,2,266.5,2,,2,0.677,2,,2,0.0,2
51.0,2,8.8784,2,32.5765,2,265.6,2,,2,0.669,2,,2,0.0,2
52.0,2,8.8811,2,32.5779,2,265.2,2,,2,0.67,2,,2,0.0,2
53.0,2,8.8828,2,32.5804,2,265.0,2,,2,0.693,2,,2,0.0,2
54.0,2,8.8863,2,32.5835,2,264.4,2,,2,0.674,2,,2,0.0,2
55.0,2,8.8899,2,32.5871,2,263.5,2,,2,0.6629999999999999,2,,2,0.0,2
56.0,2,8.8964,2,32.5941,2,263.0,2,,2,0.637,2,,2,0.0,2
57.0,2,8.902999999999999,2,32.6014,2,262.8,2,,2,0.634,2,,2,0.0,2
58.0,2,8.9075,2,32.6062,2,262.2,2,,2,0.609,2,,2,0.0,2
59.0,2,8.9164,2,32.6158,2,261.3,2,,2,0.604,2,,2,0.0,2
60.0,2,8.921,2,32.6201,2,260.1,2,,2,0.574,2,,2,0.0,2
61.0,2,8.9371,2,32.6388,2,258.5,2,,2,0.5710000000000001,2,,2,0.0,2
62.0,2,8.9481,2,32.6509,2,256.5,2,,2,0.5579999999999999,2,,2,0.0,2
63.0,2,8.9543,2,32.658,2,255.4,2,,2,0.526,2,,2,0.0,2
64.0,2,8.9621,2,32.6656,2,254.6,2,,2,0.519,2,,2,0.0,2
65.0,2,8.9672,2,32.6706,2,252.2,2,,2,0.511,2,,2,0.0,2
66.0,2,8.9898,2,32.698,2,246.4,2,,2,0.52,2,,2,0.0,2
67.0,2,9.0575,2,32.8024,2,237.9,2,,2,0.473,2,,2,0.0,2
68.0,2,9.0779,2,32.8453,2,230.8,2,,2,0.43200000000000005,2,,2,0.0,2
69.0,2,9.0868,2,32.8617,2,227.0,2,,2,0.414,2,,2,0.0,2
70.0,2,9.0973,2,32.8769,2,225.1,2,,2,0.386,2,,2,0.0,2
71.0,2,9.1129,2,32.9074,2,222.3,2,,2,0.373,2,,2,0.0,2
72.0,2,9.1189,2,32.9194,2,220.3,2,,2,0.355,2,,2,0.0,2
73.0,2,9.1575,2,33.0105,2,212.1,2,,2,0.337,2,,2,0.0,2
74.0,2,9.18,2,33.0647,2,205.0,2,,2,0.305,2,,2,0.0,2
75.0,2,9.1894,2,33.0948,2,199.6,2,,2,0.298,2,,2,0.0,2
76.0,2,9.2041,2,33.1436,2,194.7,2,,2,0.275,2,,2,0.0,2
77.0,2,9.2142,2,33.1852,2,189.9,2,,2,0.27,2,,2,0.0,2
78.0,2,9.23,2,33.2383,2,184.2,2,,2,0.23199999999999998,2,,2,0.0,2
79.0,2,9.2369,2,33.306,2,177.4,2,,2,0.2,2,,2,0.0,2
80.0,2,9.2413,2,33.3387,2,173.2,2,,2,0.179,2,,2,0.0,2
81.0,2,9.2439,2,33.3542,2,171.9,2,,2,0.16699999999999998,2,,2,0.0,2
82.0,2,9.2443,2,33.3625,2,171.5,2,,2,0.168,2,,2,0.0,2
83.0,2,9.2475,2,33.3738,2,169.2,2,,2,0.158,2,,2,0.0,2
84.0,2,9.2463,2,33.4207,2,165.9,2,,2,0.14,2,,2,0.0,2
85.0,2,9.2309,2,33.4425,2,163.1,2,,2,0.14400000000000002,2,,2,0.0,2
86.0,2,9.2109,2,33.4623,2,161.2,2,,2,0.121,2,,2,0.0,2
87.0,2,9.1948,2,33.4784,2,159.7,2,,2,0.113,2,,2,0.0,2
88.0,2,9.1783,2,33.4977,2,158.4,2,,2,0.107,2,,2,0.0,2
89.0,2,9.1625,2,33.5152,2,157.4,2,,2,0.107,2,,2,0.0,2
90.0,2,9.1602,2,33.5166,2,157.3,2,,2,0.1,2,,2,0.0,2
91.0,2,9.1596,2,33.5166,2,157.6,2,,2,0.102,2,,2,0.0,2
92.0,2,9.1581,2,33.5174,2,157.7,2,,2,0.106,2,,2,0.0,2
93.0,2,9.1571,2,33.5182,2,157.5,2,,2,0.106,2,,2,0.0,2
94.0,2,9.158,2,33.5178,2,157.4,2,,2,0.107,2,,2,0.0,2
95.0,2,9.1548,2,33.5196,2,157.2,2,,2,0.102,2,,2,0.0,2
96.0,2,9.1537,2,33.52,2,157.2,2,,2,0.094,2,,2,0.0,2
97.0,2,9.1549,2,33.5194,2,157.1,2,,2,0.099,2,,2,0.0,2
98.0,2,9.1549,2,33.5194,2,157.1,2,,2,0.099,2,,2,0.0,2
99.0,2,9.1484,2,33.523,2,157.1,2,,2,0.098,2,,2,0.0,2
100.0,2,9.1389,2,33.5274,2,156.2,2,,2,0.1,2,,2,0.0,2
101.0,2,9.1117,2,33.5392,2,155.0,2,,2,0.099,2,,2,0.0,2
102.0,2,9.0409,2,33.5691,2,152.9,2,,2,0.10300000000000001,2,,2,0.0,2
