CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#"Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf), except that a small offset in the fit was allowed.",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.8 ml/l from 0 to 100 dbar,,,,,,,,,,,,,,,,,
#      • ±0.6 ml/l from 100 to 300 dbar,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 300 to 800 dbar,,,,,,,,,,,,,,,,,
#      • ±0.05 ml/l below 800 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#The primary Salinity:Practical:CTD channel was used for events 0041 and 0043 so it was recalibrated to match the secondary channel which was selected for all other casts.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2014-01-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20140210
STNBR = P26
CASTNO = 3
DATE = 20140220
TIME =  00:17
LATITUDE = 50.00067
LONGITUDE = -144.9985
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR_TSG,CTDFLUOR_TSG_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
3,2,8.1589,2,32.4361,2,288.9,2,64.3,2,0.617,2,150.4,2
4,2,8.1599,2,32.4361,2,289.0,2,64.3,2,0.617,2,134.9,2
6,2,8.1607,2,32.4362,2,287.3,2,64.3,2,0.628,2,102.8,2
7,2,8.1611,2,32.4365,2,288.8,2,64.3,2,0.662,2,89.6,2
8,2,8.1611,2,32.4366,2,289.9,2,64.3,2,0.648,2,81.6,2
9,2,8.1616,2,32.4366,2,288.7,2,64.3,2,0.648,2,73.9,2
10,2,8.1617,2,32.4366,2,289.1,2,64.3,2,0.655,2,67.1,2
11,2,8.1615,2,32.4365,2,288.9,2,64.3,2,0.7070000000000001,2,63.0,2
12,2,8.1619,2,32.4365,2,288.8,2,64.3,2,0.7340000000000001,2,57.2,2
13,2,8.1627,2,32.4366,2,289.0,2,64.3,2,0.743,2,52.7,2
14,2,8.1622,2,32.4367,2,288.9,2,64.3,2,0.747,2,51.4,2
15,2,8.1622,2,32.4365,2,289.2,2,64.3,2,0.7759999999999999,2,50.5,2
16,2,8.1624,2,32.4366,2,289.0,2,64.3,2,0.8320000000000001,2,45.1,2
17,2,8.1626,2,32.4367,2,289.0,2,64.3,2,0.85,2,39.7,2
18,2,8.1626,2,32.4365,2,288.9,2,64.3,2,1.01,2,37.1,2
19,2,8.1632,2,32.4367,2,288.6,2,64.3,2,0.96,2,35.3,2
20,2,8.1631,2,32.4368,2,288.7,2,64.3,2,0.924,2,34.2,2
21,2,8.1635,2,32.4367,2,288.7,2,64.3,2,0.975,2,33.3,2
22,2,8.1648,2,32.4367,2,288.4,2,64.3,2,0.966,2,31.3,2
23,2,8.1651,2,32.4366,2,286.5,2,64.3,2,0.966,2,29.4,2
24,2,8.1642,2,32.4367,2,288.0,2,64.3,2,0.978,2,27.8,2
25,2,8.1639,2,32.4369,2,289.0,2,64.3,2,0.987,2,25.8,2
26,2,8.1641,2,32.4367,2,288.9,2,64.3,2,0.991,2,24.4,2
27,2,8.1642,2,32.4368,2,288.9,2,64.3,2,0.9940000000000001,2,23.6,2
28,2,8.1644,2,32.4367,2,289.0,2,64.3,2,1.003,2,22.8,2
29,2,8.1648,2,32.4367,2,289.1,2,64.3,2,0.987,2,21.8,2
30,2,8.165,2,32.4368,2,289.2,2,64.3,2,0.968,2,20.7,2
31,2,8.1648,2,32.4369,2,289.0,2,64.3,2,0.997,2,19.3,2
32,2,8.1646,2,32.437,2,288.9,2,64.3,2,0.998,2,18.7,2
33,2,8.1651,2,32.4368,2,288.1,2,64.3,2,0.9990000000000001,2,18.1,2
