CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#"Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf), except that a small offset in the fit was allowed.",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.8 ml/l from 0 to 100 dbar,,,,,,,,,,,,,,,,,
#      • ±0.6 ml/l from 100 to 300 dbar,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 300 to 800 dbar,,,,,,,,,,,,,,,,,
#      • ±0.05 ml/l below 800 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#The primary Salinity:Practical:CTD channel was used for events 0041 and 0043 so it was recalibrated to match the secondary channel which was selected for all other casts.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2014-01-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20140210
STNBR = P4
CASTNO = 3
DATE = 20140212
TIME =  09:10
LATITUDE = 48.64967
LONGITUDE = -126.6705
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR_TSG,CTDFLUOR_TSG_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
4,2,7.8144,2,32.1233,2,289.0,2,62.5,2,0.823,2,,2
5,2,7.81,2,32.124,2,287.4,2,62.5,2,0.877,2,,2
6,2,7.8089,2,32.1256,2,287.8,2,62.9,2,0.873,2,,2
7,2,7.8091,2,32.1268,2,287.4,2,62.9,2,0.935,2,,2
8,2,7.8137,2,32.1364,2,286.9,2,63.0,2,0.93,2,,2
9,2,7.8209,2,32.1525,2,286.5,2,63.1,2,0.875,2,,2
10,2,7.8247,2,32.16,2,287.1,2,63.2,2,0.884,2,,2
11,2,7.8272,2,32.1658,2,286.4,2,63.3,2,0.88,2,,2
12,2,7.8287,2,32.1703,2,286.8,2,63.3,2,0.897,2,,2
13,2,7.8307,2,32.1761,2,287.0,2,63.4,2,0.882,2,,2
14,2,7.8286,2,32.1813,2,287.7,2,63.2,2,0.8809999999999999,2,,2
15,2,7.8249,2,32.1879,2,287.3,2,63.4,2,0.878,2,,2
16,2,7.8243,2,32.1939,2,287.6,2,63.4,2,0.84,2,,2
17,2,7.8246,2,32.2029,2,287.8,2,63.4,2,0.868,2,,2
18,2,7.8246,2,32.21,2,288.2,2,63.4,2,0.8390000000000001,2,,2
19,2,7.8239,2,32.2135,2,288.2,2,63.4,2,0.787,2,,2
20,2,7.8219,2,32.22,2,288.3,2,63.4,2,0.821,2,,2
21,2,7.8204,2,32.2264,2,288.0,2,63.5,2,0.823,2,,2
22,2,7.822,2,32.2333,2,287.7,2,63.5,2,0.8029999999999999,2,,2
23,2,7.8226,2,32.2375,2,288.4,2,63.5,2,0.862,2,,2
24,2,7.8211,2,32.2401,2,288.5,2,63.5,2,0.843,2,,2
25,2,7.8198,2,32.2432,2,288.1,2,63.6,2,0.93,2,,2
26,2,7.8202,2,32.2491,2,288.0,2,63.7,2,0.883,2,,2
27,2,7.8221,2,32.2543,2,287.7,2,63.7,2,0.893,2,,2
28,2,7.8232,2,32.2569,2,288.2,2,63.8,2,0.818,2,,2
29,2,7.825,2,32.2594,2,288.7,2,63.9,2,0.802,2,,2
30,2,7.8287,2,32.2641,2,288.3,2,63.9,2,0.794,2,,2
31,2,7.8219,2,32.2667,2,288.7,2,63.8,2,0.818,2,,2
32,2,7.8148,2,32.268,2,288.6,2,63.9,2,0.807,2,,2
33,2,7.8159,2,32.2702,2,288.6,2,63.9,2,0.807,2,,2
34,2,7.8161,2,32.2709,2,289.3,2,63.9,2,0.835,2,,2
35,2,7.8171,2,32.2724,2,288.8,2,64.0,2,0.887,2,,2
36,2,7.8184,2,32.2736,2,288.5,2,63.9,2,0.87,2,,2
