CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#"Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf), except that a small offset in the fit was allowed.",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.8 ml/l from 0 to 100 dbar,,,,,,,,,,,,,,,,,
#      • ±0.6 ml/l from 100 to 300 dbar,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 300 to 800 dbar,,,,,,,,,,,,,,,,,
#      • ±0.05 ml/l below 800 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#The primary Salinity:Practical:CTD channel was used for events 0041 and 0043 so it was recalibrated to match the secondary channel which was selected for all other casts.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2014-01-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20140210
STNBR = P11
CASTNO = 2
DATE = 20140223
TIME =  06:01
LATITUDE = 48.933
LONGITUDE = -130.1665
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR_TSG,CTDFLUOR_TSG_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
2,2,7.8807,2,32.4096,2,290.8,2,62.1,2,1.125,2,,2
3,2,7.8802,2,32.4095,2,291.3,2,62.1,2,1.1540000000000001,2,,2
4,2,7.8807,2,32.4095,2,290.8,2,62.1,2,1.198,2,,2
5,2,7.8804,2,32.4096,2,290.4,2,62.1,2,1.148,2,,2
6,2,7.8795,2,32.4094,2,291.0,2,62.1,2,1.163,2,,2
7,2,7.8788,2,32.4095,2,291.2,2,62.1,2,1.196,2,,2
8,2,7.8775,2,32.4094,2,291.3,2,62.1,2,1.2409999999999999,2,,2
9,2,7.8763,2,32.4092,2,291.2,2,62.1,2,1.166,2,,2
10,2,7.8769,2,32.4093,2,291.3,2,62.1,2,1.172,2,,2
11,2,7.8789,2,32.4092,2,290.5,2,62.1,2,1.187,2,,2
12,2,7.8812,2,32.4093,2,291.0,2,62.1,2,1.226,2,,2
13,2,7.8811,2,32.4095,2,291.2,2,62.1,2,1.153,2,,2
14,2,7.8811,2,32.4094,2,291.3,2,62.1,2,1.218,2,,2
15,2,7.8814,2,32.4095,2,290.3,2,62.0,2,1.21,2,,2
16,2,7.8815,2,32.4096,2,292.2,2,62.1,2,1.146,2,,2
17,2,7.8817,2,32.4096,2,290.3,2,62.1,2,1.1540000000000001,2,,2
18,2,7.8819,2,32.4096,2,291.1,2,62.1,2,1.166,2,,2
19,2,7.8816,2,32.4095,2,291.0,2,62.1,2,1.12,2,,2
20,2,7.8819,2,32.4096,2,291.2,2,62.1,2,1.197,2,,2
21,2,7.8823,2,32.4096,2,291.1,2,62.0,2,1.1909999999999998,2,,2
22,2,7.8812,2,32.4095,2,291.3,2,62.0,2,1.141,2,,2
23,2,7.8808,2,32.4095,2,290.7,2,62.0,2,1.122,2,,2
24,2,7.8816,2,32.4095,2,290.9,2,62.1,2,1.109,2,,2
25,2,7.8819,2,32.4095,2,291.0,2,62.1,2,1.131,2,,2
26,2,7.8816,2,32.4097,2,291.2,2,62.0,2,1.189,2,,2
27,2,7.8818,2,32.4095,2,291.1,2,62.0,2,1.159,2,,2
28,2,7.8816,2,32.4096,2,291.2,2,62.0,2,1.224,2,,2
29,2,7.8815,2,32.4096,2,290.3,2,62.1,2,1.1909999999999998,2,,2
30,2,7.8816,2,32.4095,2,291.2,2,62.1,2,1.172,2,,2
31,2,7.881,2,32.4096,2,291.2,2,62.1,2,1.172,2,,2
32,2,7.8804,2,32.4096,2,290.9,2,62.1,2,1.162,2,,2
33,2,7.8788,2,32.4097,2,290.9,2,62.1,2,1.173,2,,2
34,2,7.8769,2,32.4099,2,291.2,2,62.1,2,1.244,2,,2
35,2,7.8739,2,32.4101,2,290.7,2,62.1,2,1.215,2,,2
36,2,7.8746,2,32.4098,2,290.7,2,62.1,2,1.194,2,,2
37,2,7.8752,2,32.4098,2,290.3,2,62.2,2,1.185,2,,2
38,2,7.8744,2,32.4101,2,290.9,2,62.2,2,1.163,2,,2
39,2,7.872999999999999,2,32.4101,2,290.0,2,62.2,2,1.148,2,,2
40,2,7.8701,2,32.4104,2,290.6,2,62.3,2,1.159,2,,2
41,2,7.8687,2,32.4104,2,290.9,2,62.3,2,1.195,2,,2
42,2,7.8675,2,32.4104,2,290.9,2,62.3,2,1.178,2,,2
43,2,7.8672,2,32.4102,2,291.1,2,62.3,2,1.172,2,,2
44,2,7.8662,2,32.41,2,290.7,2,62.4,2,1.172,2,,2
45,2,7.8663,2,32.4101,2,290.3,2,62.4,2,1.208,2,,2
46,2,7.8663,2,32.4101,2,290.8,2,62.4,2,1.192,2,,2
47,2,7.8662,2,32.4102,2,291.0,2,62.4,2,1.171,2,,2
48,2,7.8659,2,32.4101,2,290.0,2,62.4,2,1.2229999999999999,2,,2
49,2,7.8653,2,32.4101,2,290.6,2,62.5,2,1.2570000000000001,2,,2
50,2,7.8639,2,32.4101,2,289.8,2,62.6,2,1.157,2,,2
51,2,7.8641,2,32.4101,2,290.4,2,62.7,2,1.197,2,,2
52,2,7.8643,2,32.41,2,290.0,2,62.8,2,1.19,2,,2
53,2,7.8643,2,32.4102,2,290.2,2,62.8,2,1.079,2,,2
