CTD,20190304CCHSIOLMM
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#Transmissivity - Fluorescence - PAR data are nominal and unedited except that some records were removed in editing temperature and salinity.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on how the transmissivity calibration parameters were calculated see the document Transmissivity_Calculation.pdf.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#"Oxygen:Dissolved:CTD was calibrated using the method described in the Sea-Bird Application Note #64-2 of June 2012 (Sea-Bird_64-2_Jun2012.pdf), except that a small offset in the fit was allowed.",,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#The Oxygen:Dissolved:CTD data are considered very roughly to be:,,,,,,,,,,,,,,,,,
#      • ±0.8 ml/l from 0 to 100 dbar,,,,,,,,,,,,,,,,,
#      • ±0.6 ml/l from 100 to 300 dbar,,,,,,,,,,,,,,,,,
#      • ±0.2 ml/l from 300 to 800 dbar,,,,,,,,,,,,,,,,,
#      • ±0.05 ml/l below 800 dbar,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#The primary Salinity:Practical:CTD channel was used for events 0041 and 0043 so it was recalibrated to match the secondary channel which was selected for all other casts.,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#For details on the processing see the report 2014-01-proc.pdf,,,,,,,,,,,,,,,,,
#---------------------------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#File Name,Zone,FIL:START TIME YYYY/MM/DD, HH:MM,LOC:EVENT_NUMBER,LOC:LATITUDE,LOC:LONGITUDE,LOC:STATION,INS:LOCATION,Pressure:CTD [dbar],Temperature:CTD [deg_C_(ITS90)],Salinity:CTD [PSS-78],Sigma-t:CTD [kg/m^3],Transmissivity:CTD [*/m],Oxygen:Dissolved:CTD:Volume [ml/l],Oxygen:Dissolved:CTD:Mass [µmol/kg],Fluorescence:CTD:Wetlabs [mg/m^3],PAR:CTD [µE/m^2/sec]
#,,,,,,,,,,,,,,,,,
NUMBER_HEADERS = 8
EXPOCODE = 18DD20140210
STNBR = P26
CASTNO = 5
DATE = 20140220
TIME =  03:14
LATITUDE = 49.99967
LONGITUDE = -144.99817
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDXMISS,CTDXMISS_FLAG_W,CTDFLUOR_TSG,CTDFLUOR_TSG_FLAG_W,PAR,PAR_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,MG/M^3,,UE/m^2/sec,
1,2,8.1296,2,32.4361,2,288.9,2,11.4,2,0.9390000000000001,2,,2
2,2,8.1294,2,32.4361,2,289.5,2,39.3,2,0.966,2,,2
3,2,8.1286,2,32.4364,2,289.5,2,59.9,2,0.966,2,,2
4,2,8.1286,2,32.4358,2,288.9,2,63.6,2,1.003,2,,2
5,2,8.1296,2,32.4361,2,289.1,2,63.9,2,1.038,2,,2
6,2,8.1299,2,32.4362,2,289.1,2,64.1,2,1.045,2,,2
7,2,8.1333,2,32.4358,2,288.9,2,64.3,2,1.045,2,,2
8,2,8.1349,2,32.4357,2,289.2,2,64.3,2,1.043,2,,2
9,2,8.1331,2,32.4358,2,289.2,2,64.3,2,1.026,2,,2
10,2,8.1331,2,32.4361,2,289.3,2,64.3,2,1.046,2,,2
11,2,8.126,2,32.4362,2,289.1,2,64.3,2,1.0290000000000001,2,,2
12,2,8.1276,2,32.4361,2,289.0,2,64.3,2,1.0290000000000001,2,,2
13,2,8.129,2,32.4361,2,289.2,2,64.3,2,1.021,2,,2
14,2,8.1341,2,32.4359,2,288.7,2,64.3,2,1.043,2,,2
15,2,8.1378,2,32.4356,2,289.1,2,64.2,2,1.06,2,,2
16,2,8.1377,2,32.4358,2,288.3,2,64.2,2,1.077,2,,2
17,2,8.1371,2,32.4358,2,289.1,2,64.3,2,1.093,2,,2
18,2,8.1384,2,32.4358,2,288.9,2,64.2,2,1.081,2,,2
19,2,8.1384,2,32.4357,2,289.0,2,64.2,2,1.035,2,,2
20,2,8.1383,2,32.4358,2,289.0,2,64.2,2,1.089,2,,2
21,2,8.1385,2,32.4359,2,289.1,2,64.3,2,1.062,2,,2
22,2,8.1383,2,32.4358,2,289.1,2,64.3,2,1.041,2,,2
23,2,8.1386,2,32.4357,2,288.7,2,64.2,2,1.0759999999999998,2,,2
24,2,8.1387,2,32.4357,2,289.0,2,64.3,2,1.0390000000000001,2,,2
25,2,8.1391,2,32.4356,2,289.1,2,64.3,2,1.0290000000000001,2,,2
26,2,8.1393,2,32.4356,2,289.1,2,64.3,2,1.0290000000000001,2,,2
27,2,8.1393,2,32.4358,2,288.4,2,64.2,2,1.031,2,,2
28,2,8.1395,2,32.4358,2,288.7,2,64.3,2,1.042,2,,2
29,2,8.1393,2,32.4358,2,289.1,2,64.3,2,0.9990000000000001,2,,2
30,2,8.1391,2,32.4358,2,288.7,2,64.2,2,1.032,2,,2
31,2,8.139,2,32.4358,2,289.0,2,64.3,2,1.054,2,,2
32,2,8.1392,2,32.4356,2,289.3,2,64.3,2,1.125,2,,2
33,2,8.1393,2,32.4357,2,289.1,2,64.3,2,1.067,2,,2
34,2,8.1393,2,32.4357,2,288.7,2,64.3,2,1.055,2,,2
35,2,8.1395,2,32.4358,2,288.9,2,64.2,2,1.046,2,,2
36,2,8.1397,2,32.4357,2,289.0,2,64.2,2,1.047,2,,2
37,2,8.1398,2,32.4357,2,288.8,2,64.2,2,1.032,2,,2
38,2,8.1399,2,32.4357,2,288.0,2,64.2,2,1.001,2,,2
39,2,8.1401,2,32.4356,2,289.1,2,64.1,2,1.011,2,,2
40,2,8.1403,2,32.4357,2,289.0,2,64.2,2,1.02,2,,2
41,2,8.1404,2,32.4357,2,288.9,2,64.2,2,1.02,2,,2
42,2,8.1404,2,32.4356,2,289.0,2,64.2,2,1.0190000000000001,2,,2
43,2,8.1405,2,32.4358,2,289.0,2,64.3,2,1.028,2,,2
44,2,8.1406,2,32.4356,2,289.1,2,64.2,2,1.054,2,,2
45,2,8.1408,2,32.4356,2,289.0,2,64.3,2,1.04,2,,2
46,2,8.1408,2,32.4356,2,288.8,2,64.2,2,0.9990000000000001,2,,2
47,2,8.14,2,32.4358,2,289.1,2,64.3,2,1.01,2,,2
48,2,8.1404,2,32.4356,2,288.6,2,64.3,2,1.004,2,,2
49,2,8.1408,2,32.4356,2,288.7,2,64.3,2,0.988,2,,2
50,2,8.1411,2,32.4358,2,287.4,2,64.3,2,0.982,2,,2
51,2,8.1405,2,32.4357,2,287.9,2,64.3,2,0.997,2,,2
52,2,8.14,2,32.4357,2,289.0,2,64.3,2,1.01,2,,2
53,2,8.1405,2,32.4356,2,288.9,2,64.4,2,1.013,2,,2
54,2,8.1401,2,32.4356,2,288.9,2,64.4,2,1.021,2,,2
55,2,8.1396,2,32.4356,2,289.3,2,64.4,2,1.005,2,,2
56,2,8.1403,2,32.4356,2,288.7,2,64.4,2,0.992,2,,2
57,2,8.1402,2,32.4357,2,289.0,2,64.4,2,1.026,2,,2
58,2,8.1412,2,32.4356,2,288.8,2,64.4,2,0.9840000000000001,2,,2
59,2,8.1415,2,32.4355,2,288.9,2,64.3,2,0.99,2,,2
60,2,8.142000000000001,2,32.4358,2,288.6,2,64.3,2,0.961,2,,2
61,2,8.1404,2,32.4355,2,288.2,2,64.5,2,0.972,2,,2
62,2,8.1407,2,32.4356,2,288.9,2,64.4,2,1.0270000000000001,2,,2
63,2,8.1411,2,32.4357,2,288.3,2,64.4,2,1.05,2,,2
64,2,8.1398,2,32.4356,2,288.2,2,64.4,2,1.0390000000000001,2,,2
65,2,8.1354,2,32.4352,2,288.8,2,64.5,2,1.042,2,,2
66,2,8.133,2,32.4351,2,288.9,2,64.6,2,1.036,2,,2
67,2,8.1333,2,32.4351,2,288.0,2,64.8,2,1.022,2,,2
68,2,8.1326,2,32.4352,2,288.2,2,64.7,2,1.1,2,,2
69,2,8.1321,2,32.4351,2,287.9,2,64.7,2,1.013,2,,2
70,2,8.1255,2,32.4356,2,288.1,2,64.9,2,0.995,2,,2
71,2,8.1248,2,32.4357,2,288.4,2,64.9,2,0.925,2,,2
72,2,8.1235,2,32.4361,2,288.3,2,65.0,2,0.91,2,,2
73,2,8.1224,2,32.4361,2,288.2,2,65.0,2,0.938,2,,2
74,2,8.119,2,32.4364,2,288.4,2,65.0,2,0.9059999999999999,2,,2
75,2,8.1168,2,32.4367,2,287.8,2,65.1,2,0.94,2,,2
77,2,8.1165,2,32.4366,2,288.3,2,65.1,2,0.946,2,,2
78,2,8.1143,2,32.4368,2,288.3,2,65.1,2,0.875,2,,2
79,2,8.1142,2,32.437,2,288.2,2,65.1,2,0.94,2,,2
80,2,8.1147,2,32.4369,2,288.5,2,65.1,2,0.887,2,,2
81,2,8.1149,2,32.4368,2,287.0,2,65.1,2,0.9209999999999999,2,,2
82,2,8.1124,2,32.4372,2,286.4,2,65.1,2,0.941,2,,2
83,2,8.0895,2,32.4396,2,284.4,2,65.1,2,0.914,2,,2
84,2,8.0472,2,32.4441,2,281.7,2,65.2,2,0.948,2,,2
85,2,8.014,2,32.4468,2,281.7,2,65.3,2,0.9259999999999999,2,,2
86,2,7.9747,2,32.4507,2,281.5,2,65.3,2,0.858,2,,2
87,2,7.8644,2,32.4615,2,282.0,2,65.4,2,0.843,2,,2
88,2,7.7393,2,32.4725,2,282.7,2,65.6,2,0.792,2,,2
89,2,7.6343,2,32.4796,2,282.7,2,65.8,2,0.763,2,,2
90,2,7.5569,2,32.4851,2,281.0,2,66.0,2,0.726,2,,2
91,2,7.4786,2,32.4918,2,279.7,2,66.0,2,0.7090000000000001,2,,2
92,2,7.3747,2,32.5011,2,274.4,2,66.2,2,0.667,2,,2
93,2,7.1353,2,32.5188,2,275.6,2,66.2,2,0.555,2,,2
94,2,6.9211,2,32.5363,2,278.4,2,66.5,2,0.496,2,,2
95,2,6.5367,2,32.5674,2,279.4,2,66.6,2,0.43700000000000006,2,,2
96,2,6.2348,2,32.5874,2,279.1,2,66.9,2,0.42100000000000004,2,,2
97,2,6.1545,2,32.5925,2,280.9,2,67.1,2,0.344,2,,2
98,2,6.0458,2,32.6006,2,282.0,2,67.2,2,0.304,2,,2
